REF_DATE,GEO,Estimates,VALUE
2015,Canada,"Equals: debt service ratio, interest only",6.41
2016,Canada,"Equals: debt service ratio, interest only",6.47
2017,Canada,"Equals: debt service ratio, interest only",6.48
2018,Canada,"Equals: debt service ratio, interest only",7.06
2019,Canada,"Equals: debt service ratio, interest only",7.43
2020,Canada,"Equals: debt service ratio, interest only",6.53
2021,Canada,"Equals: debt service ratio, interest only",6.02
2022,Canada,"Equals: debt service ratio, interest only",6.86
2023,Canada,"Equals: debt service ratio, interest only",9.0
2024,Canada,"Equals: debt service ratio, interest only",9.15
2015,Newfoundland and Labrador,"Equals: debt service ratio, interest only",4.97
2016,Newfoundland and Labrador,"Equals: debt service ratio, interest only",5.11
2017,Newfoundland and Labrador,"Equals: debt service ratio, interest only",5.18
2018,Newfoundland and Labrador,"Equals: debt service ratio, interest only",5.51
2019,Newfoundland and Labrador,"Equals: debt service ratio, interest only",5.82
2020,Newfoundland and Labrador,"Equals: debt service ratio, interest only",4.96
2021,Newfoundland and Labrador,"Equals: debt service ratio, interest only",4.18
2022,Newfoundland and Labrador,"Equals: debt service ratio, interest only",4.74
2023,Newfoundland and Labrador,"Equals: debt service ratio, interest only",5.97
2024,Newfoundland and Labrador,"Equals: debt service ratio, interest only",5.7
2015,Prince Edward Island,"Equals: debt service ratio, interest only",5.27
2016,Prince Edward Island,"Equals: debt service ratio, interest only",5.15
2017,Prince Edward Island,"Equals: debt service ratio, interest only",4.87
2018,Prince Edward Island,"Equals: debt service ratio, interest only",5.31
2019,Prince Edward Island,"Equals: debt service ratio, interest only",5.49
2020,Prince Edward Island,"Equals: debt service ratio, interest only",4.74
2021,Prince Edward Island,"Equals: debt service ratio, interest only",4.14
2022,Prince Edward Island,"Equals: debt service ratio, interest only",4.7
2023,Prince Edward Island,"Equals: debt service ratio, interest only",6.1
2024,Prince Edward Island,"Equals: debt service ratio, interest only",6.01
2015,Nova Scotia,"Equals: debt service ratio, interest only",5.67
2016,Nova Scotia,"Equals: debt service ratio, interest only",5.57
2017,Nova Scotia,"Equals: debt service ratio, interest only",5.47
