,GeoFIPS,State,LineCode,Description,value,Year,Quarter
0,0,United States,1,"Personal income (millions of dollars, seasonally adjusted)",15276302.2,2015,Q1
1,0,United States,2,"Population (midperiod, persons) 1",320914934.0,2015,Q1
2,0,United States,3,Per capita personal income (dollars) 2,47602.0,2015,Q1
3,1000,Alabama,1,"Personal income (millions of dollars, seasonally adjusted)",185291.7,2015,Q1
4,1000,Alabama,2,"Population (midperiod, persons) 1",4902063.0,2015,Q1
5,1000,Alabama,3,Per capita personal income (dollars) 2,37799.0,2015,Q1
6,2000,Alaska,1,"Personal income (millions of dollars, seasonally adjusted)",41820.1,2015,Q1
7,2000,Alaska,2,"Population (midperiod, persons) 1",738672.0,2015,Q1
8,2000,Alaska,3,Per capita personal income (dollars) 2,56615.0,2015,Q1
9,4000,Arizona,1,"Personal income (millions of dollars, seasonally adjusted)",263680.3,2015,Q1
10,4000,Arizona,2,"Population (midperiod, persons) 1",6678777.0,2015,Q1
11,4000,Arizona,3,Per capita personal income (dollars) 2,39480.0,2015,Q1
12,5000,Arkansas,1,"Personal income (millions of dollars, seasonally adjusted)",115060.3,2015,Q1
13,5000,Arkansas,2,"Population (midperiod, persons) 1",2967257.0,2015,Q1
14,5000,Arkansas,3,Per capita personal income (dollars) 2,38777.0,2015,Q1
15,6000,California,1,"Personal income (millions of dollars, seasonally adjusted)",2055502.8,2015,Q1
16,6000,California,2,"Population (midperiod, persons) 1",38852106.0,2015,Q1
17,6000,California,3,Per capita personal income (dollars) 2,52906.0,2015,Q1
18,8000,Colorado,1,"Personal income (millions of dollars, seasonally adjusted)",277175.8,2015,Q1
19,8000,Colorado,2,"Population (midperiod, persons) 1",5404980.0,2015,Q1
20,8000,Colorado,3,Per capita personal income (dollars) 2,51282.0,2015,Q1
21,9000,Connecticut,1,"Personal income (millions of dollars, seasonally adjusted)",236877.6,2015,Q1
22,9000,Connecticut,2,"Population (midperiod, persons) 1",3613531.0,2015,Q1
23,9000,Connecticut,3,Per capita personal income (dollars) 2,65553.0,2015,Q1
24,10000,Delaware,1,"Personal income (millions of dollars, seasonally adjusted)",44023.6,2015,Q1
25,10000,Delaware,2,"Population (midperiod, persons) 1",941396.0,2015,Q1
26,10000,Delaware,3,Per capita personal income (dollars) 2,46764.0,2015,Q1
27,11000,District of Columbia,1,"Personal income (millions of dollars, seasonally adjusted)",49106.3,2015,Q1
28,11000,District of Columbia,2,"Population (midperiod, persons) 1",661092.0,2015,Q1
29,11000,District of Columbia,3,Per capita personal income (dollars) 2,74281.0,2015,Q1
30,12000,Florida,1,"Personal income (millions of dollars, seasonally adjusted)",890419.0,2015,Q1
31,12000,Florida,2,"Population (midperiod, persons) 1",20014436.0,2015,Q1
32,12000,Florida,3,Per capita personal income (dollars) 2,44489.0,2015,Q1
33,13000,Georgia,1,"Personal income (millions of dollars, seasonally adjusted)",416321.3,2015,Q1
34,13000,Georgia,2,"Population (midperiod, persons) 1",10150959.0,2015,Q1
35,13000,Georgia,3,Per capita personal income (dollars) 2,41013.0,2015,Q1
36,15000,Hawaii *,1,"Personal income (millions of dollars, seasonally adjusted)",67187.1,2015,Q1
37,15000,Hawaii *,2,"Population (midperiod, persons) 1",1442288.0,2015,Q1
38,15000,Hawaii *,3,Per capita personal income (dollars) 2,46584.0,2015,Q1
39,16000,Idaho,1,"Personal income (millions of dollars, seasonally adjusted)",63821.0,2015,Q1
40,16000,Idaho,2,"Population (midperiod, persons) 1",1655307.0,2015,Q1
41,16000,Idaho,3,Per capita personal income (dollars) 2,38555.0,2015,Q1
42,17000,Illinois,1,"Personal income (millions of dollars, seasonally adjusted)",649016.8,2015,Q1
43,17000,Illinois,2,"Population (midperiod, persons) 1",12967520.0,2015,Q1
44,17000,Illinois,3,Per capita personal income (dollars) 2,50049.0,2015,Q1
45,18000,Indiana,1,"Personal income (millions of dollars, seasonally adjusted)",276386.8,2015,Q1
46,18000,Indiana,2,"Population (midperiod, persons) 1",6622707.0,2015,Q1
47,18000,Indiana,3,Per capita personal income (dollars) 2,41733.0,2015,Q1
48,19000,Iowa,1,"Personal income (millions of dollars, seasonally adjusted)",141488.5,2015,Q1
49,19000,Iowa,2,"Population (midperiod, persons) 1",3131265.0,2015,Q1
50,19000,Iowa,3,Per capita personal income (dollars) 2,45186.0,2015,Q1
51,20000,Kansas,1,"Personal income (millions of dollars, seasonally adjusted)",136105.4,2015,Q1
52,20000,Kansas,2,"Population (midperiod, persons) 1",2918937.0,2015,Q1
53,20000,Kansas,3,Per capita personal income (dollars) 2,46628.0,2015,Q1
54,21000,Kentucky,1,"Personal income (millions of dollars, seasonally adjusted)",169699.2,2015,Q1
55,21000,Kentucky,2,"Population (midperiod, persons) 1",4438699.0,2015,Q1
56,21000,Kentucky,3,Per capita personal income (dollars) 2,38232.0,2015,Q1
57,22000,Louisiana,1,"Personal income (millions of dollars, seasonally adjusted)",198461.9,2015,Q1
58,22000,Louisiana,2,"Population (midperiod, persons) 1",4663258.0,2015,Q1
59,22000,Louisiana,3,Per capita personal income (dollars) 2,42559.0,2015,Q1
60,23000,Maine,1,"Personal income (millions of dollars, seasonally adjusted)",56252.5,2015,Q1
61,23000,Maine,2,"Population (midperiod, persons) 1",1336258.0,2015,Q1
62,23000,Maine,3,Per capita personal income (dollars) 2,42097.0,2015,Q1
