,State,GeoFIPS,Year,value
0,United States,0,2015,190325800
1,Alabama,1000,2015,2587641
2,Alaska,2000,2015,461707
3,Arizona,4000,2015,3547647
4,Arkansas,5000,2015,1610799
5,California,6000,2015,22687175
6,Colorado,8000,2015,3574253
7,Connecticut,9000,2015,2288144
8,Delaware,10000,2015,568832
9,District of Columbia,11000,2015,873204
10,Florida,12000,2015,11367164
11,Georgia,13000,2015,5832928
12,Hawaii,15000,2015,901126
13,Idaho,16000,2015,949392
14,Illinois,17000,2015,7748859
15,Indiana,18000,2015,3796439
16,Iowa,19000,2015,2059821
17,Kansas,20000,2015,1910992
18,Kentucky,21000,2015,2473925
19,Louisiana,22000,2015,2696540
20,Maine,23000,2015,816586
21,Maryland,24000,2015,3602930
22,Massachusetts,25000,2015,4631415
23,Michigan,26000,2015,5501527
24,Minnesota,27000,2015,3662633
25,Mississippi,28000,2015,1568216
26,Missouri,29000,2015,3655817
27,Montana,30000,2015,660573
28,Nebraska,31000,2015,1302877
29,Nevada,32000,2015,1664654
30,New Hampshire,33000,2015,860652
31,New Jersey,34000,2015,5303132
32,New Mexico,35000,2015,1092272
33,New York,36000,2015,12099197
34,North Carolina,37000,2015,5694917
35,North Dakota,38000,2015,597638
36,Ohio,39000,2015,6862150
37,Oklahoma,40000,2015,2287838
38,Oregon,41000,2015,2391179
39,Pennsylvania,42000,2015,7510339
40,Rhode Island,44000,2015,626983
41,South Carolina,45000,2015,2636275
42,South Dakota,46000,2015,592644
43,Tennessee,47000,2015,3859498
44,Texas,48000,2015,16414554
45,Utah,49000,2015,1865934
46,Vermont,50000,2015,432560
47,Virginia,51000,2015,5060270
48,Washington,53000,2015,4199164
49,West Virginia,54000,2015,904270
50,Wisconsin,55000,2015,3624473
51,Wyoming,56000,2015,406045
52,United States,0,2016,193425900
53,Alabama,1000,2016,2619761
54,Alaska,2000,2016,457142
55,Arizona,4000,2016,3644791
56,Arkansas,5000,2016,1629734
57,California,6000,2016,23177961
58,Colorado,8000,2016,3666709
59,Connecticut,9000,2016,2301331
60,Delaware,10000,2016,578605
61,District of Columbia,11000,2016,892796
62,Florida,12000,2016,11682273
63,Georgia,13000,2016,5973764
64,Hawaii,15000,2016,914921
65,Idaho,16000,2016,976719
66,Illinois,17000,2016,7804672
67,Indiana,18000,2016,3847508
68,Iowa,19000,2016,2066676
69,Kansas,20000,2016,1916188
70,Kentucky,21000,2016,2498703
71,Louisiana,22000,2016,2691337
72,Maine,23000,2016,826729
73,Maryland,24000,2016,3659063
74,Massachusetts,25000,2016,4709800
75,Michigan,26000,2016,5575793
76,Minnesota,27000,2016,3697854
77,Mississippi,28000,2016,1581199
78,Missouri,29000,2016,3700543
79,Montana,30000,2016,667793
80,Nebraska,31000,2016,1310927
81,Nevada,32000,2016,1724751
82,New Hampshire,33000,2016,873123
83,New Jersey,34000,2016,5391258
84,New Mexico,35000,2016,1092375
85,New York,36000,2016,12259166
86,North Carolina,37000,2016,5825267
87,North Dakota,38000,2016,576701
88,Ohio,39000,2016,6931328
89,Oklahoma,40000,2016,2287131
90,Oregon,41000,2016,2450390
91,Pennsylvania,42000,2016,7593722
92,Rhode Island,44000,2016,633419
93,South Carolina,45000,2016,2700187
94,South Dakota,46000,2016,597263
95,Tennessee,47000,2016,3951859
96,Texas,48000,2016,16683280
97,Utah,49000,2016,1933131
98,Vermont,50000,2016,433791
99,Virginia,51000,2016,5156659
100,Washington,53000,2016,4313722
101,West Virginia,54000,2016,890209
102,Wisconsin,55000,2016,3657732
103,Wyoming,56000,2016,398144
104,United States,0,2017,196394100
105,Alabama,1000,2017,2649222
106,Alaska,2000,2017,455550
107,Arizona,4000,2017,3740747
108,Arkansas,5000,2017,1639903
109,California,6000,2017,23548874
110,Colorado,8000,2017,3760708
111,Connecticut,9000,2017,2300273
112,Delaware,10000,2017,584693
113,District of Columbia,11000,2017,902843
114,Florida,12000,2017,12098388
115,Georgia,13000,2017,6128089
116,Hawaii,15000,2017,921135
117,Idaho,16000,2017,1007831
118,Illinois,17000,2017,7823072
119,Indiana,18000,2017,3903424
120,Iowa,19000,2017,2061826
121,Kansas,20000,2017,1913433
122,Kentucky,21000,2017,2520120
123,Louisiana,22000,2017,2692542
124,Maine,23000,2017,834280
125,Maryland,24000,2017,3696841
126,Massachusetts,25000,2017,4778364
127,Michigan,26000,2017,5631139
128,Minnesota,27000,2017,3735638
129,Mississippi,28000,2017,1592198
130,Missouri,29000,2017,3735873
131,Montana,30000,2017,674409
132,Nebraska,31000,2017,1317730
133,Nevada,32000,2017,1780614
134,New Hampshire,33000,2017,882481
135,New Jersey,34000,2017,5448785
136,New Mexico,35000,2017,1095489
137,New York,36000,2017,12391361
138,North Carolina,37000,2017,5919022
139,North Dakota,38000,2017,573077
140,Ohio,39000,2017,6987847
141,Oklahoma,40000,2017,2291944
142,Oregon,41000,2017,2515986
143,Pennsylvania,42000,2017,7662469
144,Rhode Island,44000,2017,638851
145,South Carolina,45000,2017,2759183
146,South Dakota,46000,2017,601254
147,Tennessee,47000,2017,4033011
148,Texas,48000,2017,17104407
149,Utah,49000,2017,1995267
150,Vermont,50000,2017,435861
151,Virginia,51000,2017,5229126
152,Washington,53000,2017,4432271
153,West Virginia,54000,2017,888822
154,Wisconsin,55000,2017,3678859
155,Wyoming,56000,2017,398968
156,United States,0,2018,200292200
157,Alabama,1000,2018,2692424
158,Alaska,2000,2018,454776
159,Arizona,4000,2018,3854741
160,Arkansas,5000,2018,1658212
