,2015-01-01,2015-02-01,2015-03-01,2015-04-01,2015-05-01,2015-06-01,2015-07-01,2015-08-01,2015-09-01,2015-10-01,2015-11-01,2015-12-01,2016-01-01,2016-02-01,2016-03-01,2016-04-01,2016-05-01,2016-06-01,2016-07-01,2016-08-01,2016-09-01,2016-10-01,2016-11-01,2016-12-01,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01,2024-01-01,2024-02-01,2024-03-01,2024-04-01,2024-05-01,2024-06-01,2024-07-01,2024-08-01,2024-09-01,2024-10-01,2024-11-01,2024-12-01,2025-01-01,2025-02-01,2025-03-01,2025-04-01,2025-05-01,2025-06-01,2025-07-01,2025-08-01,2025-09-01,2025-10-01,2025-11-01,2025-12-01,2026-01-01,2026-02-01
Alaska,18.2,18.2,18.5,18.3,17.9,17.7,17.5,17.4,17.0,17.2,17.1,17.1,16.9,16.8,16.6,16.6,16.6,16.2,16.5,16.1,15.8,15.7,15.7,15.6,15.4,15.6,15.2,15.2,14.9,15.0,15.1,15.2,15.3,15.2,15.2,15.1,15.5,15.5,15.6,15.4,15.4,15.7,15.7,15.9,16.0,16.3,16.4,16.6,16.3,16.3,16.3,16.4,16.5,16.4,16.3,16.4,16.4,16.4,16.5,16.6,16.6,16.8,16.6,14.7,15.3,15.3,15.2,15.6,16.0,16.1,16.0,16.0,15.8,15.7,15.7,15.5,15.8,16.0,16.4,16.1,16.0,16.1,16.0,16.1,16.0,15.9,15.9,16.1,16.2,16.2,16.2,16.2,16.2,16.2,16.4,16.3,16.5,16.4,16.5,16.4,16.7,17.0,17.3,17.7,17.8,17.8,17.8,17.9,18.0,18.5,18.5,18.5,18.6,18.5,18.3,18.4,18.5,18.8,18.9,19.2,19.5,19.7,19.9,19.7,19.0,18.9,18.9,18.7,18.7,18.9,18.8,18.4,18.9,18.6
Alabama,80.7,80.3,79.2,80.2,80.8,81.7,81.2,82.0,82.0,82.2,83.3,83.9,84.9,83.9,84.2,84.6,84.2,83.9,84.2,83.3,84.0,83.6,83.4,84.3,85.6,85.2,85.0,83.7,84.7,84.4,84.8,85.2,85.6,86.9,86.2,86.1,86.5,87.6,87.6,88.0,88.2,89.0,89.3,89.8,90.2,90.8,90.9,90.9,91.0,91.2,92.6,93.4,93.4,93.5,93.8,94.3,94.7,94.7,94.7,94.7,94.9,94.6,94.0,89.6,90.8,92.3,91.6,91.9,92.0,93.0,93.1,93.8,93.9,93.5,93.6,93.3,93.7,93.5,94.7,94.2,94.9,95.1,95.9,96.2,97.1,98.1,98.9,99.3,99.5,99.3,99.7,99.5,100.0,99.7,99.8,100.0,100.0,100.1,100.0,100.6,100.4,101.4,101.2,102.0,102.3,103.1,103.6,103.8,104.7,105.7,105.6,105.4,106.4,107.2,107.1,108.0,108.2,107.2,107.5,107.6,108.2,108.3,108.3,108.5,109.2,109.4,110.0,110.2,110.3,110.4,109.5,109.7,111.0,111.3
Arkansas,47.7,48.0,47.1,47.4,48.2,48.6,49.5,50.3,50.8,50.7,50.8,50.6,50.4,50.3,50.1,50.7,50.2,50.6,50.6,50.0,50.3,50.4,50.1,49.8,50.9,51.0,51.6,51.4,51.4,51.4,51.0,51.0,51.3,50.6,51.4,50.9,50.5,50.8,50.4,50.4,50.7,50.6,51.0,50.9,51.1,51.1,51.0,51.4,52.0,52.0,52.0,52.5,52.3,52.5,52.5,52.7,52.8,53.1,52.9,53.2,53.6,53.2,53.5,51.5,52.6,52.7,52.7,53.1,53.4,53.7,54.4,54.7,54.8,53.4,55.3,55.6,55.3,55.2,55.5,55.4,55.3,55.6,55.9,56.2,56.4,56.5,56.6,56.7,57.3,57.6,58.4,58.8,59.6,60.0,60.3,60.0,61.3,61.4,61.9,62.6,63.0,63.9,63.5,63.8,64.2,64.6,65.1,65.4,65.6,66.2,66.9,66.6,67.0,67.4,67.2,67.6,67.4,67.4,67.3,67.2,66.9,66.5,66.9,66.6,66.4,66.4,66.2,66.2,66.1,65.9,66.3,66.4,66.1,66.5
Arizona,124.2,124.3,124.6,125.2,125.9,125.8,126.3,126.9,127.3,128.1,129.1,130.0,130.2,131.1,132.3,132.0,132.6,133.2,135.2,135.9,136.2,136.0,136.0,136.6,138.4,139.4,140.4,141.2,142.8,144.8,145.3,146.3,147.6,149.1,149.7,150.8,151.5,152.7,153.6,154.3,155.1,156.8,157.8,159.0,160.2,160.5,162.4,163.8,164.9,166.1,166.6,168.6,169.7,170.5,170.9,171.4,172.2,173.1,173.9,174.6,175.5,176.5,175.3,171.1,172.8,173.1,171.4,173.0,173.6,174.9,175.8,175.8,175.5,175.4,176.4,176.8,177.1,178.1,179.4,180.0,182.1,182.2,183.2,185.4,186.9,189.3,190.4,192.5,194.3,195.7,197.0,198.8,200.0,202.0,203.9,204.2,205.3,206.2,207.6,212.3,213.7,216.6,215.7,217.1,219.2,213.7,215.1,216.7,227.2,228.8,230.2,224.9,225.5,227.1,225.8,228.0,227.7,227.2,227.7,227.3,227.3,227.0,227.1,225.8,225.2,224.3,223.8,223.3,222.6,221.7,221.8,222.7,223.2,223.8
California,706.5,708.2,712.8,718.2,723.7,727.9,734.7,740.8,741.1,753.2,757.9,762.7,764.1,770.2,758.5,773.5,772.8,771.5,779.1,780.3,782.5,785.3,786.2,787.9,774.6,784.4,794.7,801.4,808.1,813.1,815.3,818.3,823.8,826.5,831.4,838.8,844.0,860.3,844.1,852.7,855.7,858.9,861.0,865.8,869.0,873.3,873.6,876.0,877.9,870.1,876.5,879.6,883.9,888.6,890.4,893.6,896.9,893.6,901.3,896.2,904.1,909.8,893.8,744.2,828.7,851.1,842.2,849.5,851.9,865.0,868.0,873.6,874.9,877.9,885.1,886.3,883.1,878.4,883.2,881.8,878.1,888.9,894.5,894.1,897.7,912.2,922.5,914.8,914.8,916.4,915.9,915.3,919.1,912.5,903.3,909.0,882.6,910.1,902.5,904.9,910.4,916.1,915.0,919.7,923.6,920.7,918.3,923.2,929.4,912.7,919.3,914.4,913.1,913.7,917.1,913.0,910.2,910.9,909.0,904.4,902.3,894.8,896.0,901.7,901.0,896.6,894.1,893.1,888.6,880.8,885.9,880.8,885.4,884.5
Colorado,146.7,147.9,147.3,147.3,148.1,147.9,148.3,148.8,149.6,150.4,150.9,151.5,151.9,152.5,153.0,153.0,153.8,154.4,155.5,156.1,157.1,157.8,158.8,158.7,158.9,160.2,161.8,162.0,162.0,162.8,163.4,164.8,165.4,166.7,167.5,168.6,169.8,171.1,171.9,171.9,172.4,173.4,173.6,174.3,174.7,174.3,175.2,175.7,176.8,177.7,176.8,177.7,178.3,179.9,180.4,180.6,180.7,180.3,180.5,180.5,180.1,179.3,179.7,169.1,174.2,174.0,172.5,172.8,172.6,173.4,174.0,175.1,176.1,176.1,176.8,176.6,176.4,175.6,177.4,177.2,177.8,179.2,179.8,180.5,180.5,181.7,181.2,183.6,183.2,183.2,183.0,183.6,184.2,184.4,185.0,184.1,184.0,183.8,184.6,185.0,185.0,185.8,185.6,186.7,185.2,183.5,182.8,184.5,184.2,187.1,185.6,184.6,187.4,187.4,187.5,187.3,187.5,187.3,187.2,187.6,188.2,187.0,186.6,185.1,184.4,182.8,183.9,184.2,184.1,185.4,185.1,186.5,188.5,189.5
Connecticut,56.8,57.0,56.7,57.5,58.1,58.4,57.9,57.8,58.0,58.5,58.7,59.4,59.6,59.3,60.0,59.7,59.2,59.0,59.1,59.2,58.8,58.5,58.6,58.5,58.5,58.3,58.1,58.2,58.4,58.6,58.5,58.4,58.5,58.5,58.1,57.4,57.8,58.2,57.9,57.8,58.3,58.6,58.7,59.0,59.4,59.9,59.9,60.0,60.0,59.9,59.6,60.3,60.0,59.7,59.9,59.8,59.8,59.7,59.9,58.3,58.8,59.3,59.2,49.4,54.0,55.8,56.6,57.4,57.8,58.1,58.6,58.5,58.5,58.6,58.8,58.9,59.1,59.0,59.5,59.7,60.0,60.3,60.4,60.9,59.5,61.2,61.4,61.7,61.2,60.9,61.0,61.1,61.1,61.3,61.4,61.5,61.8,62.3,62.3,61.9,61.7,61.7,61.9,62.0,61.7,62.1,62.2,62.3,62.5,62.5,62.9,63.0,63.1,63.3,63.5,63.6,63.7,63.7,63.7,63.7,63.7,64.0,63.8,64.0,64.3,64.1,63.9,64.1,64.1,64.1,64.8,64.8,65.1,64.3
Florida,414.9,417.1,419.8,421.5,426.4,429.5,432.9,436.4,439.1,446.3,450.6,453.9,456.9,460.3,462.6,467.7,471.1,472.9,478.5,480.8,484.1,487.7,490.8,493.4,495.9,497.7,500.4,501.5,504.4,507.1,508.7,511.9,484.8,515.7,517.9,521.1,524.9,531.2,534.4,538.0,538.6,543.1,544.8,547.7,550.7,553.1,554.4,556.2,557.7,557.9,559.5,560.3,562.1,564.0,566.1,568.8,570.3,570.9,574.8,573.3,573.4,574.0,572.6,536.7,558.9,566.8,560.2,564.9,563.2,564.4,566.6,568.9,570.4,571.3,577.7,573.8,575.3,575.6,576.7,577.8,578.9,582.8,585.6,585.7,587.4,590.5,592.7,595.1,598.3,601.3,605.9,606.8,609.1,610.7,613.1,616.6,619.2,620.6,622.9,625.8,627.4,629.4,630.1,633.2,635.5,639.7,639.9,641.7,642.6,644.5,645.8,648.2,650.7,652.7,655.5,656.8,657.4,642.5,658.0,657.4,656.5,657.9,660.2,659.1,658.8,658.0,655.7,654.6,653.7,650.3,648.6,647.2,647.7,648.8
Georgia,166.1,167.0,165.8,167.9,168.9,169.9,170.1,170.6,171.0,171.8,173.0,174.7,174.1,175.0,175.9,177.0,178.0,178.9,180.8,181.7,182.9,183.0,185.0,185.4,185.8,185.8,186.0,185.5,186.1,186.9,185.7,186.7,186.9,188.0,188.5,190.3,190.5,192.5,193.6,195.0,195.0,195.6,196.2,196.6,197.7,197.9,196.8,198.7,202.6,202.9,203.1,203.0,203.7,204.7,205.3,205.6,205.9,206.5,207.3,207.3,207.3,208.1,207.7,196.1,197.8,199.2,198.4,200.5,200.9,201.2,201.3,201.4,203.1,202.8,203.9,204.3,203.9,204.3,207.5,206.4,207.2,208.5,209.8,210.4,209.7,210.8,211.1,213.0,213.4,213.7,214.2,213.9,215.6,216.3,216.0,216.3,218.1,218.6,219.6,219.7,220.4,221.4,221.1,221.2,222.6,223.0,224.3,225.2,225.6,226.6,228.0,227.7,228.0,229.0,229.8,230.8,230.8,231.9,232.3,232.9,231.8,233.5,234.0,235.1,235.7,234.8,235.7,236.8,236.7,237.1,236.4,236.2,236.2,232.5
Iowa,78.1,78.8,79.1,78.3,77.6,77.2,77.4,77.3,77.5,78.3,78.9,79.9,80.3,80.4,83.5,82.0,79.6,79.5,80.9,81.2,81.8,81.6,80.7,79.6,77.6,78.5,78.6,76.8,76.1,75.6,74.7,74.4,74.7,74.8,75.3,75.9,75.8,76.6,77.2,76.0,77.2,77.8,77.8,77.9,77.9,77.3,78.0,77.6,78.9,76.8,75.4,77.5,78.0,78.5,79.0,79.2,79.1,79.0,77.8,78.4,79.0,79.0,78.4,73.6,76.6,76.1,75.6,75.9,74.7,76.0,76.0,77.6,77.1,74.6,76.6,77.9,78.1,78.3,79.0,78.9,79.1,79.4,80.3,80.7,80.0,80.7,80.3,80.5,80.7,81.2,81.6,81.6,81.7,81.4,82.0,81.0,82.3,82.8,82.7,83.3,83.0,83.7,83.5,83.5,84.3,84.7,84.5,85.2,84.5,86.4,87.5,85.6,85.7,85.0,84.7,84.4,84.0,83.1,83.7,83.7,84.2,83.7,84.6,84.0,84.1,84.1,83.8,84.5,84.6,82.9,83.8,83.7,85.1,85.8
