,2015-01-01,2015-02-01,2015-03-01,2015-04-01,2015-05-01,2015-06-01,2015-07-01,2015-08-01,2015-09-01,2015-10-01,2015-11-01,2015-12-01,2016-01-01,2016-02-01,2016-03-01,2016-04-01,2016-05-01,2016-06-01,2016-07-01,2016-08-01,2016-09-01,2016-10-01,2016-11-01,2016-12-01,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01,2024-01-01,2024-02-01,2024-03-01,2024-04-01,2024-05-01,2024-06-01,2024-07-01,2024-08-01,2024-09-01,2024-10-01,2024-11-01,2024-12-01,2025-01-01,2025-02-01,2025-03-01,2025-04-01,2025-05-01,2025-06-01,2025-07-01,2025-08-01,2025-09-01,2025-10-01,2025-11-01,2025-12-01,2026-01-01,2026-02-01
Alaska,47.8,47.8,47.8,47.0,47.1,47.3,47.4,47.3,47.3,47.5,47.6,47.8,48.0,48.2,48.3,48.5,48.5,48.1,48.8,48.9,49.0,49.0,49.0,49.0,49.3,49.3,49.5,49.5,49.8,49.9,49.9,50.0,50.0,50.1,50.1,50.1,50.2,50.3,50.4,50.3,50.3,50.4,50.2,50.3,50.6,50.7,50.8,50.8,50.5,50.5,50.6,50.6,50.7,50.8,50.8,51.1,51.0,51.0,51.1,51.3,51.3,51.2,51.0,45.6,47.3,48.5,48.4,49.0,49.4,49.8,50.1,50.2,50.0,50.5,50.8,50.7,50.7,50.5,50.6,50.5,50.3,50.4,50.4,50.4,49.7,49.8,50.0,50.1,50.2,50.2,50.1,50.2,50.2,50.2,50.9,50.5,50.7,50.8,50.8,51.0,50.9,51.5,51.6,51.7,52.1,52.0,52.1,52.2,52.3,52.6,52.6,52.5,52.7,52.8,53.2,53.4,53.6,53.6,53.8,53.6,53.9,53.9,53.9,54.3,54.5,54.6,54.4,54.3,54.3,54.1,54.1,54.0,53.9,53.9
Alabama,231.3,231.6,230.5,232.1,232.5,232.7,233.1,234.0,233.9,234.5,235.3,235.6,235.9,236.3,237.0,237.1,237.7,237.3,239.9,239.8,240.2,240.5,238.0,239.9,239.7,240.4,241.7,241.2,241.7,242.0,241.6,241.4,242.0,242.3,242.4,242.8,243.2,243.6,244.6,244.8,245.2,246.7,245.3,245.3,245.4,245.8,245.8,246.0,247.4,248.0,248.5,249.1,249.6,250.1,251.3,251.4,251.3,251.3,251.5,251.2,252.1,252.4,251.7,224.6,230.9,232.4,233.0,234.9,235.6,238.0,237.6,239.6,239.8,239.9,240.4,240.5,240.5,241.3,243.2,242.1,241.4,243.5,244.4,244.4,244.8,244.7,244.9,245.8,246.1,246.9,249.0,249.3,251.4,251.0,251.0,252.2,254.2,255.3,256.8,257.8,258.4,259.4,259.2,259.6,261.9,260.8,260.7,261.4,260.5,262.6,263.1,262.7,263.2,263.4,263.6,264.6,264.3,265.2,261.8,261.3,263.4,263.2,263.5,263.6,264.2,263.2,264.3,264.5,264.3,263.1,263.7,263.7,265.1,265.8
Arkansas,173.2,173.3,173.3,173.6,174.1,174.8,175.5,176.0,176.3,176.6,177.0,177.3,178.0,178.5,178.5,178.9,179.6,180.0,182.1,182.4,184.1,185.0,185.3,185.6,185.8,186.4,186.8,187.5,187.7,188.2,188.2,188.3,189.2,189.8,190.2,190.3,189.7,190.2,190.8,191.0,191.5,191.8,191.8,191.8,192.2,192.5,192.4,193.0,193.5,193.6,193.3,193.0,192.6,192.8,193.4,193.0,193.6,192.6,193.6,193.9,194.9,195.4,194.6,176.6,181.2,183.3,184.7,186.5,186.2,186.6,187.1,184.3,188.1,187.1,188.4,187.5,187.2,187.9,186.9,186.7,184.0,186.7,187.0,184.4,187.4,187.9,188.4,189.7,190.7,190.2,192.1,193.7,193.8,194.8,195.2,195.4,196.2,196.3,197.4,197.7,198.5,199.7,199.7,200.6,201.1,201.4,201.7,202.7,202.6,204.2,204.8,204.7,204.8,205.1,205.5,207.2,206.9,207.6,208.4,208.6,208.0,208.7,209.2,209.7,209.9,209.8,210.8,210.8,210.7,210.7,210.9,211.8,212.2,212.4
Arizona,392.5,394.5,395.8,396.9,399.2,400.2,401.7,403.7,403.0,406.1,407.0,407.6,409.0,410.1,411.3,412.7,414.2,414.3,417.4,418.3,420.2,420.9,422.3,424.2,425.2,426.8,428.5,429.6,430.4,431.3,431.5,432.7,434.1,436.0,436.8,439.1,440.4,441.9,444.5,444.2,445.4,442.5,445.6,448.2,450.4,451.7,453.3,454.4,455.6,458.0,459.1,460.9,462.9,460.4,460.6,467.4,468.8,469.7,473.0,474.9,478.4,478.3,477.8,431.0,442.4,449.5,448.7,452.6,454.9,457.7,460.7,463.6,461.0,462.2,463.7,465.8,465.7,466.6,468.9,469.2,469.5,472.0,472.0,473.1,475.1,476.9,477.2,481.0,484.2,484.1,489.0,491.3,494.0,496.6,499.2,500.2,501.8,504.0,506.3,509.2,510.8,516.1,516.4,519.2,523.9,515.9,518.4,521.7,529.8,531.2,533.3,534.8,535.5,537.7,538.6,540.4,543.1,544.4,546.0,547.0,548.3,548.3,549.8,548.8,550.2,547.8,550.4,551.2,550.6,551.1,552.1,553.6,558.2,560.4
California,2420.6,2425.8,2431.9,2443.9,2451.3,2456.4,2478.0,2479.8,2485.2,2493.1,2498.0,2503.5,2506.4,2512.5,2513.3,2539.3,2546.2,2550.6,2559.4,2557.5,2568.6,2586.4,2591.7,2597.2,2605.6,2613.1,2625.9,2634.5,2645.3,2651.7,2653.3,2659.2,2671.8,2674.7,2679.9,2683.6,2693.3,2695.5,2703.0,2703.7,2707.7,2720.2,2721.9,2733.0,2734.7,2743.7,2749.0,2756.0,2759.9,2772.7,2778.5,2784.9,2792.0,2801.9,2810.9,2817.9,2829.3,2835.3,2847.6,2853.4,2859.1,2871.7,2860.3,2572.5,2612.5,2689.9,2698.2,2710.8,2725.4,2741.3,2748.8,2761.6,2751.1,2763.6,2776.6,2797.9,2809.9,2819.9,2830.7,2835.6,2829.0,2854.8,2865.1,2873.7,2857.7,2871.0,2886.9,2904.5,2916.3,2930.0,2938.5,2950.5,2969.6,2978.5,2994.6,3006.1,3008.8,3025.4,3037.7,3059.3,3091.5,3102.7,3110.9,3131.4,3161.0,3157.1,3173.0,3198.5,3217.9,3232.9,3250.0,3260.7,3274.2,3288.1,3308.4,3325.9,3337.7,3357.3,3371.9,3376.0,3387.5,3412.0,3421.0,3445.4,3459.6,3463.7,3482.4,3503.6,3518.3,3530.6,3543.9,3547.8,3576.5,3552.4
Colorado,306.3,307.5,308.6,310.1,311.4,313.0,314.0,314.9,315.7,318.0,319.4,319.9,320.6,321.2,322.2,324.0,324.8,325.5,327.5,327.8,328.3,328.6,328.7,328.8,330.1,330.7,331.8,332.6,333.5,334.7,334.6,335.2,335.9,336.4,336.9,337.5,338.4,338.8,339.3,339.4,339.9,340.5,340.8,341.0,341.4,342.2,342.9,343.9,344.3,345.0,344.7,346.0,346.6,347.2,348.1,348.9,349.4,349.8,350.7,350.8,354.0,353.6,351.3,308.6,324.7,332.0,335.1,338.2,341.2,342.2,343.2,344.5,345.7,347.0,347.4,346.7,346.7,347.3,349.5,348.2,348.5,348.5,348.8,348.9,348.8,349.0,350.1,352.4,352.7,351.4,353.4,354.9,355.9,357.6,358.8,359.4,360.8,362.0,363.4,365.6,367.4,369.3,370.4,371.7,375.8,378.0,377.0,378.2,380.2,383.2,383.1,383.8,382.4,384.3,382.0,382.2,382.9,383.2,383.7,384.8,392.9,392.3,391.9,394.1,395.9,392.5,398.8,400.8,401.7,400.6,402.1,402.3,406.7,405.7
Connecticut,334.2,333.3,332.9,333.3,333.6,335.1,334.9,335.1,334.2,335.3,335.6,335.3,335.1,336.1,337.6,336.1,335.5,337.0,340.4,339.9,340.3,341.0,341.3,341.5,342.1,341.9,342.5,342.3,343.7,343.1,342.4,342.5,342.8,342.3,342.3,342.5,343.3,344.0,343.9,344.1,344.7,344.9,344.7,345.3,345.2,345.2,344.6,346.7,346.1,346.9,347.6,347.6,347.8,347.8,347.5,348.0,348.6,349.3,350.6,349.3,351.0,352.0,348.3,300.5,307.6,315.6,318.7,325.3,326.2,328.5,329.4,330.4,330.6,329.0,332.7,332.0,333.2,333.6,334.7,335.1,333.4,337.6,337.3,338.9,336.7,338.0,340.1,339.9,340.8,341.6,343.4,343.1,344.9,344.9,345.9,346.7,353.9,350.3,350.9,352.1,353.6,358.5,355.9,356.8,359.0,359.3,360.1,359.8,361.3,363.3,365.2,364.0,364.0,365.7,367.7,368.7,369.4,370.4,372.0,372.9,374.8,374.1,374.3,375.8,376.8,376.0,376.2,376.2,376.5,377.3,379.5,379.8,380.3,380.7
Delaware,73.9,74.1,74.1,74.8,75.1,75.6,75.4,75.4,75.6,75.7,75.7,75.9,76.0,76.2,76.3,76.2,76.4,76.5,76.8,76.9,77.0,77.0,76.8,77.1,77.0,77.5,77.4,77.6,77.7,77.5,77.8,77.9,78.3,78.5,78.4,78.5,79.2,78.9,79.3,79.5,79.6,79.8,79.3,79.5,79.7,80.4,80.4,80.5,80.7,80.7,81.1,80.9,80.9,81.2,81.3,81.4,81.7,81.0,81.3,81.4,81.5,82.0,81.5,73.6,74.5,76.3,77.3,78.3,78.5,78.8,78.7,78.6,78.5,78.1,78.4,78.3,78.1,77.9,78.7,78.1,77.7,78.1,78.3,78.2,78.9,79.2,79.1,79.3,79.6,79.6,79.3,79.5,80.0,80.0,80.1,80.8,81.3,81.3,81.9,82.7,83.1,83.8,84.0,84.3,84.5,85.2,85.1,85.6,85.6,85.9,86.4,86.8,87.2,87.8,89.0,89.4,90.0,90.6,91.5,91.3,91.4,91.8,91.6,91.9,92.4,92.3,92.1,92.5,92.0,92.5,92.4,92.9,93.5,94.0
Florida,1174.1,1177.0,1180.6,1182.5,1187.7,1191.3,1193.4,1195.2,1200.3,1207.5,1211.1,1212.4,1215.9,1217.6,1220.4,1228.4,1230.1,1230.7,1240.6,1240.6,1248.2,1249.0,1250.6,1256.2,1257.7,1260.5,1263.0,1265.2,1268.2,1271.0,1271.2,1273.5,1257.7,1275.4,1276.8,1280.2,1281.9,1285.1,1290.4,1291.3,1291.7,1295.7,1298.0,1304.2,1308.8,1308.0,1310.5,1313.4,1319.3,1322.8,1325.7,1327.7,1332.5,1333.1,1338.5,1343.5,1341.9,1348.9,1353.9,1355.5,1357.5,1362.5,1358.9,1225.4,1264.3,1294.2,1283.6,1290.8,1295.4,1304.7,1310.5,1315.5,1319.2,1321.2,1327.8,1330.3,1332.4,1337.9,1346.6,1347.3,1342.7,1354.6,1357.7,1357.9,1361.8,1366.6,1368.8,1376.5,1384.8,1390.2,1404.2,1412.9,1425.6,1424.7,1429.7,1437.7,1445.0,1449.9,1456.5,1466.0,1473.8,1483.6,1486.1,1491.6,1499.6,1505.3,1507.2,1512.8,1514.4,1520.4,1525.5,1528.2,1530.7,1535.7,1538.5,1544.5,1550.5,1540.9,1566.5,1568.0,1577.1,1581.3,1585.6,1590.2,1591.9,1588.8,1592.9,1596.3,1596.9,1598.9,1608.9,1614.9,1618.2,1616.8
Georgia,534.9,535.8,537.3,537.0,539.4,542.1,543.3,545.8,547.7,552.3,553.2,554.8,557.2,559.2,560.0,562.4,563.0,564.1,565.0,566.3,568.1,568.8,570.1,569.8,568.2,568.7,572.1,571.3,573.1,574.4,575.0,575.5,575.7,576.3,577.7,578.7,579.6,580.9,582.4,583.8,585.8,587.4,590.3,591.8,593.9,593.2,594.7,595.4,601.9,603.1,603.9,604.3,604.6,605.0,604.0,606.1,608.3,611.3,612.1,614.2,617.4,618.4,616.6,545.4,564.7,575.2,573.4,578.3,581.4,584.9,588.6,593.6,594.1,595.2,598.6,598.6,599.5,602.0,604.9,606.7,603.7,610.2,612.3,613.3,614.3,616.8,619.3,623.8,625.3,628.9,632.1,633.7,637.7,637.8,639.4,641.1,643.0,645.7,649.3,654.8,659.9,664.8,665.8,670.2,675.9,679.0,682.3,685.7,689.3,693.1,696.3,696.7,699.6,702.7,702.2,706.5,707.1,710.3,713.8,715.6,717.9,720.4,721.8,723.7,725.7,723.2,729.0,731.7,732.0,733.5,736.3,738.5,740.8,742.8
