,State,Date,value
0,Alaska,2015-01-01,34.9
1,Alabama,2015-01-01,186.9
2,Arkansas,2015-01-01,109.4
3,Arizona,2015-01-01,295.9
4,California,2015-01-01,1792.2
5,Colorado,2015-01-01,306.4
6,Connecticut,2015-01-01,150.9
7,District of Columbia,2015-01-01,73.8
8,Delaware,2015-01-01,47.8
9,Florida,2015-01-01,1111.5
10,Georgia,2015-01-01,438.9
11,Hawaii,2015-01-01,117.3
12,Iowa,2015-01-01,139.4
13,Idaho,2015-01-01,67.0
14,Illinois,2015-01-01,565.2
15,Indiana,2015-01-01,298.0
16,Kansas,2015-01-01,125.3
17,Kentucky,2015-01-01,185.8
18,Louisiana,2015-01-01,226.0
19,Massachusetts,2015-01-01,348.3
20,Maryland,2015-01-01,264.5
21,Maine,2015-01-01,64.0
22,Michigan,2015-01-01,410.4
23,Minnesota,2015-01-01,255.8
24,Missouri,2015-01-01,289.7
25,Mississippi,2015-01-01,126.8
26,Montana,2015-01-01,61.4
27,North Carolina,2015-01-01,453.4
28,North Dakota,2015-01-01,41.0
29,Nebraska,2015-01-01,87.5
30,New Hampshire,2015-01-01,67.8
31,New Jersey,2015-01-01,355.1
32,New Mexico,2015-01-01,92.0
33,Nevada,2015-01-01,339.9
34,New York,2015-01-01,889.0
35,Ohio,2015-01-01,532.0
36,Oklahoma,2015-01-01,158.7
37,Oregon,2015-01-01,187.4
38,Pennsylvania,2015-01-01,540.5
39,Rhode Island,2015-01-01,56.3
40,South Carolina,2015-01-01,235.0
41,South Dakota,2015-01-01,45.6
42,Tennessee,2015-01-01,302.1
43,Texas,2015-01-01,1211.5
44,Utah,2015-01-01,130.9
45,Virginia,2015-01-01,380.0
46,Vermont,2015-01-01,36.1
47,Washington,2015-01-01,302.6
48,Wisconsin,2015-01-01,267.6
49,West Virginia,2015-01-01,74.5
50,Wyoming,2015-01-01,36.1
51,Alaska,2015-02-01,35.0
52,Alabama,2015-02-01,188.1
53,Arkansas,2015-02-01,110.2
54,Arizona,2015-02-01,295.2
55,California,2015-02-01,1799.9
56,Colorado,2015-02-01,308.6
57,Connecticut,2015-02-01,150.5
58,District of Columbia,2015-02-01,72.8
59,Delaware,2015-02-01,47.9
60,Florida,2015-02-01,1116.0
61,Georgia,2015-02-01,442.1
62,Hawaii,2015-02-01,117.2
63,Iowa,2015-02-01,139.8
64,Idaho,2015-02-01,66.9
65,Illinois,2015-02-01,568.6
66,Indiana,2015-02-01,298.3
67,Kansas,2015-02-01,125.7
68,Kentucky,2015-02-01,185.9
69,Louisiana,2015-02-01,226.8
70,Massachusetts,2015-02-01,345.5
71,Maryland,2015-02-01,265.2
72,Maine,2015-02-01,63.6
73,Michigan,2015-02-01,410.3
74,Minnesota,2015-02-01,256.4
75,Missouri,2015-02-01,290.8
76,Mississippi,2015-02-01,127.4
77,Montana,2015-02-01,61.8
78,North Carolina,2015-02-01,455.1
79,North Dakota,2015-02-01,41.0
80,Nebraska,2015-02-01,87.9
81,New Hampshire,2015-02-01,67.4
82,New Jersey,2015-02-01,356.0
83,New Mexico,2015-02-01,92.2
84,Nevada,2015-02-01,340.5
85,New York,2015-02-01,889.8
86,Ohio,2015-02-01,532.9
87,Oklahoma,2015-02-01,159.4
88,Oregon,2015-02-01,188.6
89,Pennsylvania,2015-02-01,541.1
90,Rhode Island,2015-02-01,55.0
91,South Carolina,2015-02-01,236.3
92,South Dakota,2015-02-01,45.9
93,Tennessee,2015-02-01,303.1
94,Texas,2015-02-01,1219.0
95,Utah,2015-02-01,131.4
96,Virginia,2015-02-01,380.1
97,Vermont,2015-02-01,36.0
98,Washington,2015-02-01,303.8
99,Wisconsin,2015-02-01,267.4
100,West Virginia,2015-02-01,74.4
101,Wyoming,2015-02-01,36.2
102,Alaska,2015-03-01,35.0
103,Alabama,2015-03-01,187.8
104,Arkansas,2015-03-01,109.2
105,Arizona,2015-03-01,296.2
106,California,2015-03-01,1806.2
107,Colorado,2015-03-01,309.0
108,Connecticut,2015-03-01,150.7
109,District of Columbia,2015-03-01,72.6
110,Delaware,2015-03-01,47.9
111,Florida,2015-03-01,1119.9
112,Georgia,2015-03-01,442.2
113,Hawaii,2015-03-01,117.1
114,Iowa,2015-03-01,140.0
115,Idaho,2015-03-01,67.5
116,Illinois,2015-03-01,568.9
117,Indiana,2015-03-01,298.3
118,Kansas,2015-03-01,125.2
119,Kentucky,2015-03-01,184.1
120,Louisiana,2015-03-01,226.6
121,Massachusetts,2015-03-01,346.9
122,Maryland,2015-03-01,263.2
123,Maine,2015-03-01,63.9
124,Michigan,2015-03-01,410.7
125,Minnesota,2015-03-01,256.9
126,Missouri,2015-03-01,289.3
127,Mississippi,2015-03-01,127.0
128,Montana,2015-03-01,62.0
129,North Carolina,2015-03-01,454.2
130,North Dakota,2015-03-01,40.9
131,Nebraska,2015-03-01,88.1
132,New Hampshire,2015-03-01,68.1
133,New Jersey,2015-03-01,355.0
134,New Mexico,2015-03-01,92.5
135,Nevada,2015-03-01,340.5
136,New York,2015-03-01,891.9
137,Ohio,2015-03-01,533.3
138,Oklahoma,2015-03-01,158.6
139,Oregon,2015-03-01,189.0
140,Pennsylvania,2015-03-01,539.3
141,Rhode Island,2015-03-01,55.4
142,South Carolina,2015-03-01,236.4
143,South Dakota,2015-03-01,45.9
144,Tennessee,2015-03-01,301.7
145,Texas,2015-03-01,1220.2
146,Utah,2015-03-01,132.0
147,Virginia,2015-03-01,378.5
148,Vermont,2015-03-01,36.4
149,Washington,2015-03-01,304.9
150,Wisconsin,2015-03-01,268.8
151,West Virginia,2015-03-01,73.9
152,Wyoming,2015-03-01,36.2
153,Alaska,2015-04-01,34.9
154,Alabama,2015-04-01,188.3
155,Arkansas,2015-04-01,109.8
156,Arizona,2015-04-01,297.3
157,California,2015-04-01,1809.3
158,Colorado,2015-04-01,310.4
159,Connecticut,2015-04-01,151.2
160,District of Columbia,2015-04-01,71.8
161,Delaware,2015-04-01,47.9
162,Florida,2015-04-01,1121.1
163,Georgia,2015-04-01,443.1
164,Hawaii,2015-04-01,117.3
165,Iowa,2015-04-01,139.4
166,Idaho,2015-04-01,67.0
167,Illinois,2015-04-01,572.8
168,Indiana,2015-04-01,298.8
169,Kansas,2015-04-01,124.9
170,Kentucky,2015-04-01,185.8
171,Louisiana,2015-04-01,226.4
172,Massachusetts,2015-04-01,346.2
173,Maryland,2015-04-01,265.1
174,Maine,2015-04-01,64.0
175,Michigan,2015-04-01,408.6
176,Minnesota,2015-04-01,257.5
177,Missouri,2015-04-01,289.8
178,Mississippi,2015-04-01,128.1
179,Montana,2015-04-01,62.0
180,North Carolina,2015-04-01,454.0
181,North Dakota,2015-04-01,40.9
182,Nebraska,2015-04-01,87.2
183,New Hampshire,2015-04-01,68.0
184,New Jersey,2015-04-01,355.5
185,New Mexico,2015-04-01,92.8
186,Nevada,2015-04-01,340.1
187,New York,2015-04-01,893.5
188,Ohio,2015-04-01,535.0
189,Oklahoma,2015-04-01,160.1
190,Oregon,2015-04-01,189.2
191,Pennsylvania,2015-04-01,541.5
192,Rhode Island,2015-04-01,55.8
193,South Carolina,2015-04-01,236.6
194,South Dakota,2015-04-01,45.7
195,Tennessee,2015-04-01,305.4
196,Texas,2015-04-01,1227.9
197,Utah,2015-04-01,131.7
198,Virginia,2015-04-01,382.3
199,Vermont,2015-04-01,36.3
200,Washington,2015-04-01,304.5
201,Wisconsin,2015-04-01,269.2
202,West Virginia,2015-04-01,74.4
203,Wyoming,2015-04-01,36.4
204,Alaska,2015-05-01,35.5
205,Alabama,2015-05-01,189.3
206,Arkansas,2015-05-01,111.3
207,Arizona,2015-05-01,297.7
208,California,2015-05-01,1818.4
209,Colorado,2015-05-01,312.3
