,variable,value
Alaska,2015-01-01,362704.0
Alabama,2015-01-01,2166864.0
Arkansas,2015-01-01,1331412.0
Arizona,2015-01-01,3090768.0
California,2015-01-01,18818212.0
Colorado,2015-01-01,2807587.0
Connecticut,2015-01-01,1912878.0
District of Columbia,2015-01-01,379620.0
Delaware,2015-01-01,458015.0
Florida,2015-01-01,9547419.0
Georgia,2015-01-01,4739013.0
Hawaii,2015-01-01,680210.0
Iowa,2015-01-01,1708406.0
Idaho,2015-01-01,789286.0
Illinois,2015-01-01,6530801.0
Indiana,2015-01-01,3246591.0
Kansas,2015-01-01,1497763.0
Kentucky,2015-01-01,1987156.0
Louisiana,2015-01-01,2169690.0
Massachusetts,2015-01-01,3632559.0
Maryland,2015-01-01,3157724.0
Maine,2015-01-01,695333.0
Michigan,2015-01-01,4764774.0
Minnesota,2015-01-01,3002256.0
Missouri,2015-01-01,3046324.0
Mississippi,2015-01-01,1249462.0
Montana,2015-01-01,517396.0
North Carolina,2015-01-01,4680763.0
North Dakota,2015-01-01,416126.0
Nebraska,2015-01-01,1013018.0
New Hampshire,2015-01-01,750638.0
New Jersey,2015-01-01,4599138.0
New Mexico,2015-01-01,940698.0
Nevada,2015-01-01,1389305.0
New York,2015-01-01,9705061.0
Ohio,2015-01-01,5737312.0
Oklahoma,2015-01-01,1813648.0
Oregon,2015-01-01,1958638.0
Pennsylvania,2015-01-01,6444939.0
Rhode Island,2015-01-01,566321.0
South Carolina,2015-01-01,2233242.0
South Dakota,2015-01-01,449519.0
Tennessee,2015-01-01,3065281.0
Texas,2015-01-01,13005030.0
Utah,2015-01-01,1443189.0
Virginia,2015-01-01,4237002.0
Vermont,2015-01-01,353493.0
Washington,2015-01-01,3519204.0
Wisconsin,2015-01-01,3093599.0
West Virginia,2015-01-01,795082.0
Wyoming,2015-01-01,302001.0
Alaska,2015-02-01,362522.0
Alabama,2015-02-01,2169495.0
Arkansas,2015-02-01,1332284.0
Arizona,2015-02-01,3093823.0
California,2015-02-01,18826972.0
Colorado,2015-02-01,2808391.0
Connecticut,2015-02-01,1912990.0
District of Columbia,2015-02-01,379593.0
Delaware,2015-02-01,458674.0
Florida,2015-02-01,9552483.0
Georgia,2015-02-01,4737111.0
Hawaii,2015-02-01,680652.0
Iowa,2015-02-01,1707615.0
Idaho,2015-02-01,791359.0
Illinois,2015-02-01,6531408.0
Indiana,2015-02-01,3247085.0
Kansas,2015-02-01,1497519.0
Kentucky,2015-02-01,1985437.0
Louisiana,2015-02-01,2167248.0
Massachusetts,2015-02-01,3630125.0
Maryland,2015-02-01,3160431.0
Maine,2015-02-01,694372.0
Michigan,2015-02-01,4763075.0
Minnesota,2015-02-01,3005497.0
Missouri,2015-02-01,3048541.0
Mississippi,2015-02-01,1252238.0
Montana,2015-02-01,518398.0
North Carolina,2015-02-01,4686531.0
North Dakota,2015-02-01,415394.0
Nebraska,2015-02-01,1012312.0
New Hampshire,2015-02-01,750753.0
New Jersey,2015-02-01,4599819.0
New Mexico,2015-02-01,941207.0
Nevada,2015-02-01,1390782.0
New York,2015-02-01,9718246.0
Ohio,2015-02-01,5731526.0
Oklahoma,2015-02-01,1818867.0
Oregon,2015-02-01,1959179.0
Pennsylvania,2015-02-01,6448785.0
Rhode Island,2015-02-01,566771.0
South Carolina,2015-02-01,2235851.0
South Dakota,2015-02-01,449491.0
Tennessee,2015-02-01,3067489.0
Texas,2015-02-01,12996949.0
Utah,2015-02-01,1446330.0
Virginia,2015-02-01,4234354.0
Vermont,2015-02-01,353453.0
Washington,2015-02-01,3523168.0
Wisconsin,2015-02-01,3092455.0
West Virginia,2015-02-01,794759.0
Wyoming,2015-02-01,301683.0
Alaska,2015-03-01,362346.0
Alabama,2015-03-01,2171897.0
Arkansas,2015-03-01,1333305.0
Arizona,2015-03-01,3097355.0
California,2015-03-01,18838028.0
Colorado,2015-03-01,2809713.0
Connecticut,2015-03-01,1912140.0
District of Columbia,2015-03-01,379763.0
Delaware,2015-03-01,459436.0
Florida,2015-03-01,9560034.0
Georgia,2015-03-01,4736589.0
Hawaii,2015-03-01,681108.0
Iowa,2015-03-01,1707029.0
Idaho,2015-03-01,793573.0
Illinois,2015-03-01,6536364.0
Indiana,2015-03-01,3248870.0
Kansas,2015-03-01,1497293.0
Kentucky,2015-03-01,1983941.0
Louisiana,2015-03-01,2164327.0
Massachusetts,2015-03-01,3627911.0
Maryland,2015-03-01,3163898.0
Maine,2015-03-01,693273.0
Michigan,2015-03-01,4763675.0
Minnesota,2015-03-01,3009713.0
Missouri,2015-03-01,3050531.0
Mississippi,2015-03-01,1255338.0
Montana,2015-03-01,519291.0
North Carolina,2015-03-01,4693481.0
North Dakota,2015-03-01,414498.0
Nebraska,2015-03-01,1012006.0
New Hampshire,2015-03-01,750431.0
New Jersey,2015-03-01,4600965.0
New Mexico,2015-03-01,941739.0
Nevada,2015-03-01,1392287.0
New York,2015-03-01,9730674.0
Ohio,2015-03-01,5728534.0
Oklahoma,2015-03-01,1823690.0
Oregon,2015-03-01,1961126.0
Pennsylvania,2015-03-01,6454403.0
Rhode Island,2015-03-01,567037.0
South Carolina,2015-03-01,2238395.0
South Dakota,2015-03-01,449521.0
Tennessee,2015-03-01,3070631.0
Texas,2015-03-01,12994457.0
Utah,2015-03-01,1449776.0
Virginia,2015-03-01,4232923.0
Vermont,2015-03-01,353266.0
Washington,2015-03-01,3528031.0
Wisconsin,2015-03-01,3091803.0
West Virginia,2015-03-01,794694.0
Wyoming,2015-03-01,301424.0
Alaska,2015-04-01,362180.0
Alabama,2015-04-01,2173967.0
Arkansas,2015-04-01,1334305.0
Arizona,2015-04-01,3101717.0
California,2015-04-01,18848322.0
Colorado,2015-04-01,2811615.0
Connecticut,2015-04-01,1910119.0
District of Columbia,2015-04-01,380227.0
Delaware,2015-04-01,460259.0
Florida,2015-04-01,9569380.0
Georgia,2015-04-01,4735953.0
Hawaii,2015-04-01,681613.0
Iowa,2015-04-01,1706203.0
Idaho,2015-04-01,795780.0
Illinois,2015-04-01,6544294.0
Indiana,2015-04-01,3252300.0
Kansas,2015-04-01,1497182.0
Kentucky,2015-04-01,1982464.0
Louisiana,2015-04-01,2160724.0
Massachusetts,2015-04-01,3626445.0
Maryland,2015-04-01,3167278.0
Maine,2015-04-01,692064.0
Michigan,2015-04-01,4766275.0
Minnesota,2015-04-01,3014026.0
Missouri,2015-04-01,3051973.0
Mississippi,2015-04-01,1257989.0
Montana,2015-04-01,519870.0
North Carolina,2015-04-01,4700619.0
