,variable,value
Alaska,1990-01-01,12.4
Arkansas,1990-01-01,218.4
Arizona,1990-01-01,177.3
California,1990-01-01,1985.5
Colorado,1990-01-01,169.7
Connecticut,1990-01-01,305.1
Delaware,1990-01-01,42.6
Florida,1990-01-01,521.3
Georgia,1990-01-01,524.9
Hawaii,1990-01-01,21.0
Iowa,1990-01-01,221.1
Idaho,1990-01-01,51.4
Illinois,1990-01-01,923.7
Indiana,1990-01-01,605.6
Kansas,1990-01-01,175.2
Kentucky,1990-01-01,271.2
Louisiana,1990-01-01,173.2
Massachusetts,1990-01-01,494.2
Maryland,1990-01-01,201.8
Maine,1990-01-01,95.0
Michigan,1990-01-01,810.0
Minnesota,1990-01-01,343.9
Missouri,1990-01-01,395.1
Mississippi,1990-01-01,225.4
Montana,1990-01-01,19.3
North Carolina,1990-01-01,834.0
North Dakota,1990-01-01,14.9
Nebraska,1990-01-01,95.8
New Hampshire,1990-01-01,100.9
New Jersey,1990-01-01,549.1
New Mexico,1990-01-01,37.5
Nevada,1990-01-01,23.5
New York,1990-01-01,1009.7
Ohio,1990-01-01,1044.4
Oklahoma,1990-01-01,158.5
Oregon,1990-01-01,206.2
Pennsylvania,1990-01-01,965.4
Rhode Island,1990-01-01,97.5
South Carolina,1990-01-01,353.4
South Dakota,1990-01-01,32.5
District of Columbia,1990-01-01,7.6
Alabama,1990-01-01,365.5
Tennessee,1990-01-01,502.7
Texas,1990-01-01,938.8
Utah,1990-01-01,101.6
Virginia,1990-01-01,391.3
Vermont,1990-01-01,44.2
Washington,1990-01-01,337.7
Wisconsin,1990-01-01,524.5
West Virginia,1990-01-01,81.9
Wyoming,1990-01-01,8.9
Alaska,1990-02-01,12.4
Arkansas,1990-02-01,218.9
Arizona,1990-02-01,177.6
California,1990-02-01,1985.4
Colorado,1990-02-01,170.0
Connecticut,1990-02-01,304.8
Delaware,1990-02-01,46.7
Florida,1990-02-01,519.9
Georgia,1990-02-01,526.9
Hawaii,1990-02-01,21.0
Iowa,1990-02-01,220.6
Idaho,1990-02-01,52.6
Illinois,1990-02-01,927.3
Indiana,1990-02-01,607.3
Kansas,1990-02-01,177.5
Kentucky,1990-02-01,272.9
Louisiana,1990-02-01,174.0
Massachusetts,1990-02-01,492.1
Maryland,1990-02-01,204.7
Maine,1990-02-01,94.9
Michigan,1990-02-01,836.0
Minnesota,1990-02-01,343.9
Missouri,1990-02-01,396.0
Mississippi,1990-02-01,226.7
Montana,1990-02-01,19.2
North Carolina,1990-02-01,839.3
North Dakota,1990-02-01,15.2
Nebraska,1990-02-01,95.9
New Hampshire,1990-02-01,101.2
New Jersey,1990-02-01,548.6
New Mexico,1990-02-01,37.3
Nevada,1990-02-01,23.8
New York,1990-02-01,1007.3
Ohio,1990-02-01,1061.6
Oklahoma,1990-02-01,159.9
Oregon,1990-02-01,205.2
Pennsylvania,1990-02-01,964.5
Rhode Island,1990-02-01,97.1
South Carolina,1990-02-01,353.4
South Dakota,1990-02-01,32.8
District of Columbia,1990-02-01,7.6
Alabama,1990-02-01,362.5
Tennessee,1990-02-01,503.8
Texas,1990-02-01,939.4
Utah,1990-02-01,101.9
Virginia,1990-02-01,391.0
Vermont,1990-02-01,43.7
Washington,1990-02-01,337.4
Wisconsin,1990-02-01,527.9
West Virginia,1990-02-01,82.1
Wyoming,1990-02-01,8.8
Alaska,1990-03-01,12.9
Arkansas,1990-03-01,217.8
Arizona,1990-03-01,177.1
California,1990-03-01,1982.7
Colorado,1990-03-01,170.3
Connecticut,1990-03-01,304.5
Delaware,1990-03-01,46.9
Florida,1990-03-01,517.8
Georgia,1990-03-01,528.2
Hawaii,1990-03-01,21.0
Iowa,1990-03-01,217.7
Idaho,1990-03-01,53.0
Illinois,1990-03-01,927.2
Indiana,1990-03-01,609.6
Kansas,1990-03-01,178.4
Kentucky,1990-03-01,274.3
Louisiana,1990-03-01,174.4
Massachusetts,1990-03-01,490.0
Maryland,1990-03-01,204.3
Maine,1990-03-01,94.9
Michigan,1990-03-01,848.3
Minnesota,1990-03-01,343.6
Missouri,1990-03-01,394.3
Mississippi,1990-03-01,228.0
Montana,1990-03-01,19.3
North Carolina,1990-03-01,838.7
North Dakota,1990-03-01,15.4
Nebraska,1990-03-01,96.0
New Hampshire,1990-03-01,100.8
New Jersey,1990-03-01,544.3
New Mexico,1990-03-01,37.7
Nevada,1990-03-01,24.2
New York,1990-03-01,1005.4
Ohio,1990-03-01,1064.6
Oklahoma,1990-03-01,161.2
Oregon,1990-03-01,205.7
Pennsylvania,1990-03-01,962.5
Rhode Island,1990-03-01,96.9
South Carolina,1990-03-01,352.3
South Dakota,1990-03-01,33.1
District of Columbia,1990-03-01,7.5
Alabama,1990-03-01,360.6
Tennessee,1990-03-01,504.0
Texas,1990-03-01,940.8
Utah,1990-03-01,101.9
Virginia,1990-03-01,391.6
Vermont,1990-03-01,43.4
Washington,1990-03-01,338.6
Wisconsin,1990-03-01,526.8
West Virginia,1990-03-01,82.5
Wyoming,1990-03-01,9.1
Alaska,1990-04-01,13.7
Arkansas,1990-04-01,219.0
Arizona,1990-04-01,176.5
California,1990-04-01,1983.1
Colorado,1990-04-01,171.1
Connecticut,1990-04-01,304.8
Delaware,1990-04-01,46.7
Florida,1990-04-01,513.4
Georgia,1990-04-01,529.4
Hawaii,1990-04-01,20.6
Iowa,1990-04-01,218.2
Idaho,1990-04-01,52.9
Illinois,1990-04-01,923.2
Indiana,1990-04-01,609.6
Kansas,1990-04-01,178.5
Kentucky,1990-04-01,273.4
Louisiana,1990-04-01,175.1
Massachusetts,1990-04-01,486.6
Maryland,1990-04-01,203.3
Maine,1990-04-01,94.5
Michigan,1990-04-01,843.3
Minnesota,1990-04-01,340.9
Missouri,1990-04-01,395.6
Mississippi,1990-04-01,229.0
Montana,1990-04-01,19.5
North Carolina,1990-04-01,837.8
North Dakota,1990-04-01,15.1
Nebraska,1990-04-01,96.8
New Hampshire,1990-04-01,100.5
New Jersey,1990-04-01,538.0
New Mexico,1990-04-01,38.0
Nevada,1990-04-01,24.2
New York,1990-04-01,995.8
Ohio,1990-04-01,1068.6
Oklahoma,1990-04-01,161.9
Oregon,1990-04-01,205.4
Pennsylvania,1990-04-01,958.4
Rhode Island,1990-04-01,95.7
South Carolina,1990-04-01,352.2
South Dakota,1990-04-01,32.8
District of Columbia,1990-04-01,7.4
Alabama,1990-04-01,366.6
Tennessee,1990-04-01,503.9
Texas,1990-04-01,942.2
Utah,1990-04-01,104.1
Virginia,1990-04-01,390.6
Vermont,1990-04-01,43.0
Washington,1990-04-01,337.2
Wisconsin,1990-04-01,525.1
West Virginia,1990-04-01,82.7
Wyoming,1990-04-01,9.0
Alaska,1990-05-01,14.5
Arkansas,1990-05-01,219.2
Arizona,1990-05-01,176.7
California,1990-05-01,1980.3
Colorado,1990-05-01,170.4
Connecticut,1990-05-01,302.9
Delaware,1990-05-01,46.7
Florida,1990-05-01,513.2
Georgia,1990-05-01,527.5
Hawaii,1990-05-01,20.4
Iowa,1990-05-01,218.8
Idaho,1990-05-01,52.9
Illinois,1990-05-01,924.1
Indiana,1990-05-01,609.7
Kansas,1990-05-01,178.7
Kentucky,1990-05-01,274.0
Louisiana,1990-05-01,175.3
Massachusetts,1990-05-01,484.1
Maryland,1990-05-01,203.3
Maine,1990-05-01,94.1
Michigan,1990-05-01,838.1
Minnesota,1990-05-01,341.0
Missouri,1990-05-01,395.2
Mississippi,1990-05-01,230.1
Montana,1990-05-01,19.5
North Carolina,1990-05-01,831.6
North Dakota,1990-05-01,15.5
Nebraska,1990-05-01,96.6
New Hampshire,1990-05-01,99.9
New Jersey,1990-05-01,533.6
New Mexico,1990-05-01,38.4
Nevada,1990-05-01,24.3
New York,1990-05-01,994.6
Ohio,1990-05-01,1068.6
Oklahoma,1990-05-01,162.4
Oregon,1990-05-01,205.5
Pennsylvania,1990-05-01,957.1
Rhode Island,1990-05-01,94.9
South Carolina,1990-05-01,351.4
South Dakota,1990-05-01,33.4
District of Columbia,1990-05-01,7.3
Alabama,1990-05-01,366.2
Tennessee,1990-05-01,504.7
Texas,1990-05-01,940.7
Utah,1990-05-01,104.1
Virginia,1990-05-01,389.1
Vermont,1990-05-01,43.2
Washington,1990-05-01,336.4
Wisconsin,1990-05-01,525.3
West Virginia,1990-05-01,82.7
Wyoming,1990-05-01,9.1
Alaska,1990-06-01,14.5
Arkansas,1990-06-01,219.9
Arizona,1990-06-01,176.8
California,1990-06-01,1974.6
Colorado,1990-06-01,170.3
Connecticut,1990-06-01,301.4
Delaware,1990-06-01,46.8
Florida,1990-06-01,511.9
Georgia,1990-06-01,527.5
Hawaii,1990-06-01,20.4
Iowa,1990-06-01,218.8
Idaho,1990-06-01,52.8
Illinois,1990-06-01,922.6
Indiana,1990-06-01,609.7
Kansas,1990-06-01,179.4
Kentucky,1990-06-01,274.1
Louisiana,1990-06-01,176.7
Massachusetts,1990-06-01,481.8
Maryland,1990-06-01,203.3
Maine,1990-06-01,94.1
Michigan,1990-06-01,841.8
Minnesota,1990-06-01,341.9
Missouri,1990-06-01,396.3
Mississippi,1990-06-01,231.3
Montana,1990-06-01,19.4
North Carolina,1990-06-01,828.2
North Dakota,1990-06-01,15.6
Nebraska,1990-06-01,97.6
New Hampshire,1990-06-01,99.4
New Jersey,1990-06-01,529.4
New Mexico,1990-06-01,38.4
Nevada,1990-06-01,24.1
New York,1990-06-01,989.3
Ohio,1990-06-01,1069.4
Oklahoma,1990-06-01,162.9
Oregon,1990-06-01,204.9
Pennsylvania,1990-06-01,954.5
Rhode Island,1990-06-01,95.2
South Carolina,1990-06-01,350.7
South Dakota,1990-06-01,33.6
District of Columbia,1990-06-01,7.2
Alabama,1990-06-01,367.5
Tennessee,1990-06-01,502.0
Texas,1990-06-01,941.8
Utah,1990-06-01,104.9
Virginia,1990-06-01,389.3
Vermont,1990-06-01,43.1
Washington,1990-06-01,336.7
Wisconsin,1990-06-01,525.5
West Virginia,1990-06-01,83.1
Wyoming,1990-06-01,9.1
Alaska,1990-07-01,14.3
Arkansas,1990-07-01,219.8
Arizona,1990-07-01,177.2
California,1990-07-01,1970.3
Colorado,1990-07-01,170.4
Connecticut,1990-07-01,301.5
Delaware,1990-07-01,44.0
Florida,1990-07-01,508.9
Georgia,1990-07-01,521.0
Hawaii,1990-07-01,20.4
Iowa,1990-07-01,219.1
Idaho,1990-07-01,52.0
Illinois,1990-07-01,918.1
Indiana,1990-07-01,612.3
Kansas,1990-07-01,178.5
Kentucky,1990-07-01,274.3
Louisiana,1990-07-01,177.1
Massachusetts,1990-07-01,481.1
Maryland,1990-07-01,202.4
Maine,1990-07-01,92.9
Michigan,1990-07-01,838.1
Minnesota,1990-07-01,341.7
Missouri,1990-07-01,392.8
Mississippi,1990-07-01,231.3
Montana,1990-07-01,19.7
North Carolina,1990-07-01,823.6
North Dakota,1990-07-01,15.5
Nebraska,1990-07-01,97.7
New Hampshire,1990-07-01,98.7
New Jersey,1990-07-01,526.7
New Mexico,1990-07-01,38.2
Nevada,1990-07-01,23.9
New York,1990-07-01,982.2
Ohio,1990-07-01,1068.2
Oklahoma,1990-07-01,162.9
Oregon,1990-07-01,204.7
Pennsylvania,1990-07-01,951.2
Rhode Island,1990-07-01,94.9
South Carolina,1990-07-01,348.5
South Dakota,1990-07-01,34.2
District of Columbia,1990-07-01,7.3
Alabama,1990-07-01,364.6
Tennessee,1990-07-01,498.5
Texas,1990-07-01,947.2
Utah,1990-07-01,104.6
Virginia,1990-07-01,388.9
Vermont,1990-07-01,42.7
Washington,1990-07-01,337.3
Wisconsin,1990-07-01,523.5
