Effective Date,Minimum Wage Rate,Provincial Zone,Gender,Age,Experience Level,Effective Date - Year
2026-04-01,16.75,Not Applicable,All,All,Not Applicable,2026
2025-10-01,16.5,Not Applicable,All,All,Not Applicable,2025
2025-04-01,15.7,Not Applicable,All,All,Not Applicable,2025
2024-04-01,15.2,Not Applicable,All,All,Not Applicable,2024
2023-10-01,15,Not Applicable,All,All,Not Applicable,2023
2023-04-01,14.5,Not Applicable,All,All,Not Applicable,2023
2022-10-01,13.6,Not Applicable,All,All,Not Applicable,2022
2022-04-01,13.35,Not Applicable,All,All,Not Applicable,2022
2021-04-01,12.95,Not Applicable,All,All,Not Applicable,2021
2020-04-01,12.55,Not Applicable,All,All,Not Applicable,2020
2019-04-01,11.55,Not Applicable,All,All,Experienced,2019
2019-04-01,11.05,Not Applicable,All,All,Inexperienced,2019
2018-04-01,11,Not Applicable,All,All,Experienced,2018
2018-04-01,10.5,Not Applicable,All,All,Inexperienced,2018
2017-04-01,10.85,Not Applicable,All,All,Experienced,2017
2017-04-01,10.35,Not Applicable,All,All,Inexperienced,2017
2016-04-01,10.7,Not Applicable,All,All,Experienced,2016
2016-04-01,10.2,Not Applicable,All,All,Inexperienced,2016
