"SQINC1 State quarterly personal income summary: personal income, population, per capita personal income"
"SQINC1 State quarterly personal income summary: personal income, population, per capita personal income"
State or DC
GeoFIPS,GeoName,LineCode,Description,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1,2023:Q2,2023:Q3,2023:Q4,2024:Q1,2024:Q2,2024:Q3,2024:Q4,2025:Q1,2025:Q2,2025:Q3,2025:Q4
00000,United States,1,"Personal income (millions of dollars, seasonally adjusted)",15276302.2,15423817.5,15541187.0,15627145.2,15703395.6,15784190.6,15938963.8,16112413.9,16356975.5,16549325.2,16740977.5,16988569.7,17192994.4,17393989.1,17633681.1,17836943.5,18140923.5,18279908.9,18402804.5,18574699.1,18752696.7,20176400.7,19829431.3,19693707.3,22211384.2,21103101.1,21213753.1,21408433.6,21633115.0,21906057.1,22342098.3,22697985.7,23109259.4,23454699.2,23724337.7,24020535.7,24466466.2,24790949.1,25014714.4,25318322.2,25713267.6,25982179.3,26263006.0,26480869.9
00000,United States,2,"Population (midperiod, persons) 1",320914934,321493605,322178548,322864872,323436591,324025804,324685710,325317804,325818659,326315502,326899442,327442955,327841318,328276290,328791168,329274793,329622743,330001185,330495103,330993521,331339776,331520468,331691980,331865558,331811126,331970034,332381850,332855216,333212971,333710442,334379030,335102222,335732288,336392509,337198150,338045415,338791198,339585988,340269222,340764135,341139178,341545528,341935671,342192136
00000,United States,3,Per capita personal income (dollars) 2,47602,47976,48238,48402,48552,48713,49090,49528,50203,50716,51211,51883,52443,52986,53632,54170,55035,55393,55683,56118,56597,60860,59783,59342,66940,63569,63823,64318,64923,65644,66817,67735,68832,69724,70357,71057,72217,73003,73514,74299,75375,76072,76807,77386
01000,Alabama,1,"Personal income (millions of dollars, seasonally adjusted)",185291.7,187010.9,188719.5,188876.9,189491.0,190311.1,191052.4,192632.8,195457.1,197153.2,198427.5,200817.3,202840.6,204395.1,206240.5,209220.5,212649.0,214427.8,215946.6,217583.7,220781.1,240602.0,231621.3,230509.0,269156.8,249144.4,250621.3,253806.6,256178.9,259265.2,264735.5,269523.6,274265.4,277670.5,280991.1,285011.4,289618.5,294230.3,297585.6,300927.5,306492.5,309858.4,310778.7,312496.1
01000,Alabama,2,"Population (midperiod, persons) 1",4902063,4906482,4912678,4919092,4923738,4928639,4935028,4941401,4945848,4950219,4956881,4963818,4968538,4973864,4981184,4988758,4994224,5000222,5008288,5016699,5022596,5028773,5035828,5040791,5042248,5047002,5054128,5060806,5065660,5072766,5082571,5093347,5102660,5112495,5124036,5135793,5146054,5157199,5167419,5175620,5182030,5189053,5196713,5203147
01000,Alabama,3,Per capita personal income (dollars) 2,37799,38115,38415,38397,38485,38613,38714,38983,39519,39827,40031,40456,40825,41094,41404,41938,42579,42884,43118,43372,43958,47845,45995,45729,53380,49365,49587,50151,50572,51109,52087,52917,53749,54312,54838,55495,56280,57052,57589,58143,59145,59714,59803,60059
02000,Alaska *,1,"Personal income (millions of dollars, seasonally adjusted)",41820.1,41949.9,41941.4,41963.2,41121.6,41158.4,41304.7,41557.3,41477.7,41624.4,42112.2,42463.2,42937.2,43177.4,43864.4,44112.0,44225.2,44369.5,44580.9,44663.1,44123.3,47251.0,44978.9,45149.9,50091.8,47536.8,47529.1,48150.7,49641.9,50515.0,51145.2,51872.6,51822.5,53033.1,53918.5,54513.7,55420.6,56122.7,56762.7,57386.6,58274.4,58950.6,59271.0,59945.8
02000,Alaska *,2,"Population (midperiod, persons) 1",738672,738942,739714,740846,741810,742817,743293,743057,742578,742086,741490,740542,739328,738200,737425,736810,735938,735149,734686,734350,733720,733105,733173,733691,733770,734262,734543,734287,733862,733691,733834,734139,734297,734488,734926,735435,735789,736267,736692,736938,736997,737137,737304,737264
02000,Alaska *,3,Per capita personal income (dollars) 2,56615,56770,56699,56642,55434,55408,55570,55928,55856,56091,56794,57341,58076,58490,59483,59869,60094,60354,60680,60820,60136,64453,61348,61538,68266,64741,64706,65575,67645,68850,69696,70658,70574,72204,73366,74124,75321,76226,77051,77872,79070,79972,80389,81308
04000,Arizona,1,"Personal income (millions of dollars, seasonally adjusted)",263680.3,266834.8,267928.1,271452.9,274505.8,278149.3,281862.3,284269.6,290880.5,294603.0,299995.0,303567.5,309314.3,312598.6,317791.1,322131.8,330657.1,335081.9,339490.5,343799.3,349598.9,388360.7,382848.2,376321.7,429261.7,405373.2,410811.3,418126.4,424019.7,430913.4,440354.8,447587.0,461696.6,470153.4,474428.2,477882.6,490807.9,496509.5,500219.5,508077.4,511732.5,518739.1,523131.2,528693.5
04000,Arizona,2,"Population (midperiod, persons) 1",6678777,6696236,6717681,6740940,6761513,6782246,6804381,6825869,6844290,6862399,6885104,6909670,6930936,6952697,6978458,7005833,7030036,7054649,7082991,7112685,7139951,7171816,7198839,7221752,7239444,7261707,7287132,7311346,7332797,7357039,7381342,7402801,7421947,7441527,7466160,7493355,7517941,7543279,7566027,7584337,7599563,7615182,7630124,7641687
04000,Arizona,3,Per capita personal income (dollars) 2,39480,39848,39884,40269,40598,41011,41424,41646,42500,42930,43572,43934,44628,44961,45539,45981,47035,47498,47930,48336,48964,54151,53182,52109,59295,55823,56375,57189,57825,58572,59658,60462,62207,63180,63544,63774,65285,65821,66114,66990,67337,68119,68561,69185
05000,Arkansas,1,"Personal income (millions of dollars, seasonally adjusted)",115060.3,115993.0,117305.5,118170.8,118531.8,119387.3,119969.4,121146.8,122655.1,123103.0,123817.6,125725.9,127087.9,128125.6,129626.1,131043.7,129747.7,130556.6,132080.5,133194.2,134751.4,148709.0,142165.5,142662.8,167585.3,158969.6,159562.7,159858.2,160436.6,161460.1,164855.4,168002.5,172177.0,173071.9,173772.8,175251.6,179391.2,181404.5,184746.6,187265.0,191692.8,192049.8,192642.7,192997.3
05000,Arkansas,2,"Population (midperiod, persons) 1",2967257,2969032,2971907,2974953,2976895,2979070,2982207,2985381,2987312,2989279,2991969,2994153,2994978,2996222,2998503,3000785,3001813,3003176,3005959,3009139,3010803,3012715,3016413,3019956,3021403,3024923,3030116,3035157,3039063,3044419,3050574,3056480,3061493,3066878,3073446,3080261,3086187,3092656,3098789,3103865,3107857,3112240,3116854,3120510
05000,Arkansas,3,Per capita personal income (dollars) 2,38777,39068,39471,39722,39817,40075,40228,40580,41059,41182,41383,41990,42434,42762,43230,43670,43223,43473,43940,44263,44756,49360,47131,47240,55466,52553,52659,52669,52791,53035,54041,54966,56240,56433,56540,56895,58127,58657,59619,60333,61680,61708,61807,61848
06000,California,1,"Personal income (millions of dollars, seasonally adjusted)",2055502.8,2089561.3,2111103.4,2132030.8,2160710.9,2174042.2,2202555.5,2227243.5,2251305.9,2278666.9,2307389.9,2342831.9,2359551.7,2395471.8,2430234.3,2458962.7,2503127.2,2529523.6,2544540.0,2581798.8,2625856.0,2785790.8,2856284.6,2814023.8,3108859.6,2976888.1,2998330.6,2992784.6,2980794.6,2987507.6,3031955.3,3086324.5,3114245.7,3173860.9,3204010.8,3238999.7,3327947.4,3375748.5,3415182.6,3482070.6,3533519.2,3537859.4,3623000.6,3649184.2
06000,California,2,"Population (midperiod, persons) 1",38852106,38926463,39004708,39075419,39133044,39191290,39254947,39314089,39357906,39399011,39444362,39480467,39500361,39521611,39543378,39553950,39549217,39545865,39555429,39565538,39559597,39539160,39487224,39399745,39285383,39192585,39154198,39148659,39130496,39124209,39137008,39155495,39163972,39173305,39209134,39260166,39299521,39341583,39368849,39373226,39364156,39355769,39339939,39305280
06000,California,3,Per capita personal income (dollars) 2,52906,53680,54124,54562,55214,55473,56109,56653,57201,57836,58497,59342,59735,60612,61457,62167,63291,63964,64328,65254,66377,70456,72334,71422,79135,75955,76577,76447,76176,76360,77470,78822,79518,81021,81716,82501,84682,85806,86748,88438,89765,89894,92095,92842
