GeoFIPS,GeoName,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
00000,United States,190325800,193425900,196394100,200292200,201622200,195278600,202705100,210466200,216347200,218181200,(NA)
01000,Alabama,2587641,2619761,2649222,2692424,2712014,2670980,2769117,2857149,2931413,2969241,(NA)
02000,Alaska,461707,457142,455550,454776,454794,430889,443016,454025,467104,474188,(NA)
04000,Arizona,3547647,3644791,3740747,3854741,3929587,3919887,4085773,4250495,4404247,4457506,(NA)
05000,Arkansas,1610799,1629734,1639903,1658212,1663305,1639041,1684580,1744586,1789021,1805358,(NA)
06000,California,22687175,23177961,23548874,24077466,24224461,23156746,23932245,24941794,25260641,25583169,(NA)
08000,Colorado,3574253,3666709,3760708,3857981,3894321,3821182,3987514,4108115,4250108,4267582,(NA)
09000,Connecticut,2288144,2301331,2300273,2314465,2297925,2217480,2289367,2353654,2420056,2430624,(NA)
10000,Delaware,568832,578605,584693,597021,602769,592176,619925,642859,669568,674338,(NA)
11000,District of Columbia,873204,892796,902843,914319,915216,866078,869737,895905,908658,914851,(NA)
12000,Florida,11367164,11682273,12098388,12556216,12760885,12719408,13456896,14219768,14959611,14957046,(NA)
13000,Georgia,5832928,5973764,6128089,6287460,6398769,6326540,6638744,6939403,7094400,7180379,(NA)
15000,Hawaii,901126,914921,921135,924352,913949,817466,860689,895965,918356,928210,(NA)
16000,Idaho,949392,976719,1007831,1041387,1063420,1077556,1136875,1179749,1217054,1230617,(NA)
17000,Illinois,7748859,7804672,7823072,7880803,7859167,7520041,7749971,7992113,8170725,8216215,(NA)
18000,Indiana,3796439,3847508,3903424,3963724,3969443,3843285,3977987,4101252,4193182,4214670,(NA)
19000,Iowa,2059821,2066676,2061826,2076505,2071286,2011185,2056111,2093312,2124703,2132090,(NA)
20000,Kansas,1910992,1916188,1913433,1925926,1923958,1878986,1920129,1955078,1998458,2015348,(NA)
21000,Kentucky,2473925,2498703,2520120,2546178,2549331,2470824,2556462,2636339,2707348,2725882,(NA)
22000,Louisiana,2696540,2691337,2692542,2725271,2717240,2592461,2693967,2765554,2801413,2850255,(NA)
23000,Maine,816586,826729,834280,843918,842370,812984,849229,867629,893054,903041,(NA)
24000,Maryland,3602930,3659063,3696841,3752933,3744561,3621815,3750179,3869608,3986457,4054489,(NA)
25000,Massachusetts,4631415,4709800,4778364,4855037,4872942,4600531,4777266,4937380,5049464,5057930,(NA)
26000,Michigan,5501527,5575793,5631139,5715122,5713441,5388496,5602313,5803660,5938910,5980562,(NA)
27000,Minnesota,3662633,3697854,3735638,3776940,3782570,3607402,3711169,3799319,3887335,3920236,(NA)
28000,Mississippi,1568216,1581199,1592198,1602929,1606893,1572680,1624466,1666078,1703374,1710873,(NA)
29000,Missouri,3655817,3700543,3735873,3777370,3778389,3691104,3792314,3879856,3985694,4008112,(NA)
30000,Montana,660573,667793,674409,684043,685589,683414,714901,737303,760516,764760,(NA)
31000,Nebraska,1302877,1310927,1317730,1330415,1328396,1305702,1334521,1357391,1396472,1405802,(NA)
32000,Nevada,1664654,1724751,1780614,1848890,1884199,1770794,1912665,2043934,2123253,2150803,(NA)
33000,New Hampshire,860652,873123,882481,892584,890078,858532,894652,918549,942052,950273,(NA)
34000,New Jersey,5303132,5391258,5448785,5550061,5571281,5319882,5585243,5874321,6055271,6069474,(NA)
35000,New Mexico,1092272,1092375,1095489,1110587,1116429,1068905,1091131,1131162,1168737,1183348,(NA)
36000,New York,12099197,12259166,12391361,12655123,12745397,11871200,12226675,12796836,13181774,13312196,(NA)
37000,North Carolina,5694917,5825267,5919022,6055657,6148775,6054497,6317579,6572997,6762704,6844808,(NA)
38000,North Dakota,597638,576701,573077,578397,581324,560316,567429,581410,597884,604751,(NA)
39000,Ohio,6862150,6931328,6987847,7067380,7071408,6853292,7048052,7216118,7368050,7434117,(NA)
40000,Oklahoma,2287838,2287131,2291944,2312261,2309379,2265447,2311367,2380642,2450387,2474908,(NA)
41000,Oregon,2391179,2450390,2515986,2570069,2579015,2493913,2558974,2618298,2683848,2707024,(NA)
42000,Pennsylvania,7510339,7593722,7662469,7763488,7772024,7412858,7648662,7903549,8080499,8146346,(NA)
44000,Rhode Island,626983,633419,638851,648727,650999,615729,640196,665718,682890,688383,(NA)
45000,South Carolina,2636275,2700187,2759183,2843694,2882128,2824833,2937464,3056434,3163255,3205971,(NA)
46000,South Dakota,592644,597263,601254,610179,610159,606045,624996,641124,657822,662833,(NA)
47000,Tennessee,3859498,3951859,4033011,4120203,4168023,4119603,4298445,4488030,4625521,4666592,(NA)
48000,Texas,16414554,16683280,17104407,17608884,17899918,17697402,18551726,19481545,20279609,20460749,(NA)
49000,Utah,1865934,1933131,1995267,2069738,2102960,2135836,2249689,2339378,2414466,2433434,(NA)
50000,Vermont,432560,433791,435861,437661,433446,409231,421139,431273,440495,444869,(NA)
51000,Virginia,5060270,5156659,5229126,5299069,5329257,5224978,5392125,5540662,5716975,5773598,(NA)
53000,Washington,4199164,4313722,4432271,4537842,4591912,4435243,4574704,4755477,4868377,4904120,(NA)
54000,West Virginia,904270,890209,888822,898085,881641,840998,864560,885183,904532,914033,(NA)
55000,Wisconsin,3624473,3657732,3678859,3721096,3717587,3581288,3682367,3767253,3841837,3867941,(NA)
56000,Wyoming,406045,398144,398968,404591,407870,401439,419797,430968,449620,447255,(NA)
,,,,,,,,,,,,
Legend/Footnotes,,,,,,,,,,,,
(NA) In the latest year (NA) indicates the statistic has not yet been published. (NA) in early years indicates the statistic is not available due to source data or methodological reasons.,,,,,,,,,,,,
"  Last updated: April 9, 2026.",,,,,,,,,,,,
