,REF_DATE,GEO,Educational attainment,Age group,VALUE
0,2015-01,Canada,"Total, all education levels",15 to 24 years,53.2
1,2015-02,Canada,"Total, all education levels",15 to 24 years,53.6
2,2015-03,Canada,"Total, all education levels",15 to 24 years,54.1
3,2015-04,Canada,"Total, all education levels",15 to 24 years,53.5
4,2015-05,Canada,"Total, all education levels",15 to 24 years,59.2
5,2015-06,Canada,"Total, all education levels",15 to 24 years,61.4
6,2015-07,Canada,"Total, all education levels",15 to 24 years,64.9
7,2015-08,Canada,"Total, all education levels",15 to 24 years,64.1
8,2015-09,Canada,"Total, all education levels",15 to 24 years,55.1
9,2015-10,Canada,"Total, all education levels",15 to 24 years,55.6
10,2015-11,Canada,"Total, all education levels",15 to 24 years,54.7
11,2015-12,Canada,"Total, all education levels",15 to 24 years,54.6
12,2016-01,Canada,"Total, all education levels",15 to 24 years,52.3
13,2016-02,Canada,"Total, all education levels",15 to 24 years,52.8
14,2016-03,Canada,"Total, all education levels",15 to 24 years,53.1
15,2016-04,Canada,"Total, all education levels",15 to 24 years,53.3
16,2016-05,Canada,"Total, all education levels",15 to 24 years,58.3
17,2016-06,Canada,"Total, all education levels",15 to 24 years,60.8
18,2016-07,Canada,"Total, all education levels",15 to 24 years,63.8
19,2016-08,Canada,"Total, all education levels",15 to 24 years,63.4
20,2016-09,Canada,"Total, all education levels",15 to 24 years,54.7
21,2016-10,Canada,"Total, all education levels",15 to 24 years,55.8
22,2016-11,Canada,"Total, all education levels",15 to 24 years,55.5
23,2016-12,Canada,"Total, all education levels",15 to 24 years,55.7
24,2017-01,Canada,"Total, all education levels",15 to 24 years,53.7
25,2017-02,Canada,"Total, all education levels",15 to 24 years,53.9
26,2017-03,Canada,"Total, all education levels",15 to 24 years,54.6
27,2017-04,Canada,"Total, all education levels",15 to 24 years,54.3
28,2017-05,Canada,"Total, all education levels",15 to 24 years,60.6
29,2017-06,Canada,"Total, all education levels",15 to 24 years,62.9
30,2017-07,Canada,"Total, all education levels",15 to 24 years,66.1
31,2017-08,Canada,"Total, all education levels",15 to 24 years,64.3
32,2017-09,Canada,"Total, all education levels",15 to 24 years,55.4
33,2017-10,Canada,"Total, all education levels",15 to 24 years,56.7
34,2017-11,Canada,"Total, all education levels",15 to 24 years,57.3
35,2017-12,Canada,"Total, all education levels",15 to 24 years,57.3
36,2018-01,Canada,"Total, all education levels",15 to 24 years,54.6
37,2018-02,Canada,"Total, all education levels",15 to 24 years,54.4
38,2018-03,Canada,"Total, all education levels",15 to 24 years,55.3
39,2018-04,Canada,"Total, all education levels",15 to 24 years,54.8
40,2018-05,Canada,"Total, all education levels",15 to 24 years,60.0
41,2018-06,Canada,"Total, all education levels",15 to 24 years,62.6
42,2018-07,Canada,"Total, all education levels",15 to 24 years,66.7
43,2018-08,Canada,"Total, all education levels",15 to 24 years,65.2
44,2018-09,Canada,"Total, all education levels",15 to 24 years,55.7
45,2018-10,Canada,"Total, all education levels",15 to 24 years,56.0
46,2018-11,Canada,"Total, all education levels",15 to 24 years,56.0
47,2018-12,Canada,"Total, all education levels",15 to 24 years,56.1
48,2019-01,Canada,"Total, all education levels",15 to 24 years,54.8
49,2019-02,Canada,"Total, all education levels",15 to 24 years,55.5
50,2019-03,Canada,"Total, all education levels",15 to 24 years,55.5
51,2019-04,Canada,"Total, all education levels",15 to 24 years,56.9
52,2019-05,Canada,"Total, all education levels",15 to 24 years,61.2
53,2019-06,Canada,"Total, all education levels",15 to 24 years,63.5
54,2019-07,Canada,"Total, all education levels",15 to 24 years,66.4
55,2019-08,Canada,"Total, all education levels",15 to 24 years,65.6
56,2019-09,Canada,"Total, all education levels",15 to 24 years,56.2
57,2019-10,Canada,"Total, all education levels",15 to 24 years,56.7
58,2019-11,Canada,"Total, all education levels",15 to 24 years,56.4
59,2019-12,Canada,"Total, all education levels",15 to 24 years,56.6
60,2020-01,Canada,"Total, all education levels",15 to 24 years,54.4
61,2020-02,Canada,"Total, all education levels",15 to 24 years,55.2
62,2020-03,Canada,"Total, all education levels",15 to 24 years,45.6
63,2020-04,Canada,"Total, all education levels",15 to 24 years,35.8
64,2020-05,Canada,"Total, all education levels",15 to 24 years,40.2
65,2020-06,Canada,"Total, all education levels",15 to 24 years,49.6
66,2020-07,Canada,"Total, all education levels",15 to 24 years,55.5
67,2020-08,Canada,"Total, all education levels",15 to 24 years,56.5
68,2020-09,Canada,"Total, all education levels",15 to 24 years,51.3
69,2020-10,Canada,"Total, all education levels",15 to 24 years,51.3
70,2020-11,Canada,"Total, all education levels",15 to 24 years,51.0
71,2020-12,Canada,"Total, all education levels",15 to 24 years,50.2
72,2021-01,Canada,"Total, all education levels",15 to 24 years,45.9
73,2021-02,Canada,"Total, all education levels",15 to 24 years,48.7
74,2021-03,Canada,"Total, all education levels",15 to 24 years,51.4
75,2021-04,Canada,"Total, all education levels",15 to 24 years,49.8
76,2021-05,Canada,"Total, all education levels",15 to 24 years,53.4
77,2021-06,Canada,"Total, all education levels",15 to 24 years,60.2
78,2021-07,Canada,"Total, all education levels",15 to 24 years,64.8
79,2021-08,Canada,"Total, all education levels",15 to 24 years,64.3
80,2021-09,Canada,"Total, all education levels",15 to 24 years,56.4
81,2021-10,Canada,"Total, all education levels",15 to 24 years,57.0
82,2021-11,Canada,"Total, all education levels",15 to 24 years,57.0
83,2021-12,Canada,"Total, all education levels",15 to 24 years,57.3
84,2022-01,Canada,"Total, all education levels",15 to 24 years,52.5
85,2022-02,Canada,"Total, all education levels",15 to 24 years,55.8
86,2022-03,Canada,"Total, all education levels",15 to 24 years,56.1
87,2022-04,Canada,"Total, all education levels",15 to 24 years,56.0
88,2022-05,Canada,"Total, all education levels",15 to 24 years,62.1
89,2022-06,Canada,"Total, all education levels",15 to 24 years,64.0
90,2022-07,Canada,"Total, all education levels",15 to 24 years,66.9
91,2022-08,Canada,"Total, all education levels",15 to 24 years,65.2
92,2022-09,Canada,"Total, all education levels",15 to 24 years,55.5
93,2022-10,Canada,"Total, all education levels",15 to 24 years,56.4
94,2022-11,Canada,"Total, all education levels",15 to 24 years,56.4
95,2022-12,Canada,"Total, all education levels",15 to 24 years,57.8
96,2023-01,Canada,"Total, all education levels",15 to 24 years,55.6
97,2023-02,Canada,"Total, all education levels",15 to 24 years,56.0
98,2023-03,Canada,"Total, all education levels",15 to 24 years,56.6
99,2023-04,Canada,"Total, all education levels",15 to 24 years,56.3
100,2023-05,Canada,"Total, all education levels",15 to 24 years,60.1
101,2023-06,Canada,"Total, all education levels",15 to 24 years,62.4
102,2023-07,Canada,"Total, all education levels",15 to 24 years,66.0
103,2023-08,Canada,"Total, all education levels",15 to 24 years,64.4
104,2023-09,Canada,"Total, all education levels",15 to 24 years,55.1
105,2023-10,Canada,"Total, all education levels",15 to 24 years,55.2
106,2023-11,Canada,"Total, all education levels",15 to 24 years,54.4
107,2023-12,Canada,"Total, all education levels",15 to 24 years,54.6
108,2024-01,Canada,"Total, all education levels",15 to 24 years,52.4
109,2024-02,Canada,"Total, all education levels",15 to 24 years,52.9
110,2024-03,Canada,"Total, all education levels",15 to 24 years,52.4
111,2024-04,Canada,"Total, all education levels",15 to 24 years,53.1
112,2024-05,Canada,"Total, all education levels",15 to 24 years,57.2
113,2024-06,Canada,"Total, all education levels",15 to 24 years,58.7
114,2024-07,Canada,"Total, all education levels",15 to 24 years,61.5
115,2024-08,Canada,"Total, all education levels",15 to 24 years,60.1
116,2024-09,Canada,"Total, all education levels",15 to 24 years,52.3
117,2024-10,Canada,"Total, all education levels",15 to 24 years,52.9
118,2024-11,Canada,"Total, all education levels",15 to 24 years,52.1
119,2024-12,Canada,"Total, all education levels",15 to 24 years,52.4
120,2025-01,Canada,"Total, all education levels",15 to 24 years,51.1
121,2025-02,Canada,"Total, all education levels",15 to 24 years,51.4
122,2025-03,Canada,"Total, all education levels",15 to 24 years,51.4
123,2025-04,Canada,"Total, all education levels",15 to 24 years,51.9
124,2025-05,Canada,"Total, all education levels",15 to 24 years,56.0
125,2025-06,Canada,"Total, all education levels",15 to 24 years,58.5
126,2025-07,Canada,"Total, all education levels",15 to 24 years,60.7
127,2025-08,Canada,"Total, all education levels",15 to 24 years,59.8
128,2025-09,Canada,"Total, all education levels",15 to 24 years,51.7
129,2025-10,Canada,"Total, all education levels",15 to 24 years,52.6
130,2025-11,Canada,"Total, all education levels",15 to 24 years,53.3
131,2025-12,Canada,"Total, all education levels",15 to 24 years,53.1
132,2026-01,Canada,"Total, all education levels",15 to 24 years,51.1
133,2026-02,Canada,"Total, all education levels",15 to 24 years,50.6
134,2026-03,Canada,"Total, all education levels",15 to 24 years,51.0
135,2015-01,Canada,"Total, all education levels",25 to 54 years,80.6
136,2015-02,Canada,"Total, all education levels",25 to 54 years,80.6
137,2015-03,Canada,"Total, all education levels",25 to 54 years,80.5
138,2015-04,Canada,"Total, all education levels",25 to 54 years,81.0
139,2015-05,Canada,"Total, all education levels",25 to 54 years,81.8
140,2015-06,Canada,"Total, all education levels",25 to 54 years,82.1
141,2015-07,Canada,"Total, all education levels",25 to 54 years,81.2
142,2015-08,Canada,"Total, all education levels",25 to 54 years,81.3
143,2015-09,Canada,"Total, all education levels",25 to 54 years,82.3
144,2015-10,Canada,"Total, all education levels",25 to 54 years,82.0
145,2015-11,Canada,"Total, all education levels",25 to 54 years,81.8
146,2015-12,Canada,"Total, all education levels",25 to 54 years,81.2
147,2016-01,Canada,"Total, all education levels",25 to 54 years,80.4
148,2016-02,Canada,"Total, all education levels",25 to 54 years,80.3
149,2016-03,Canada,"Total, all education levels",25 to 54 years,80.5
150,2016-04,Canada,"Total, all education levels",25 to 54 years,80.9
151,2016-05,Canada,"Total, all education levels",25 to 54 years,81.9
152,2016-06,Canada,"Total, all education levels",25 to 54 years,82.0
153,2016-07,Canada,"Total, all education levels",25 to 54 years,80.8
154,2016-08,Canada,"Total, all education levels",25 to 54 years,80.9
155,2016-09,Canada,"Total, all education levels",25 to 54 years,81.8
156,2016-10,Canada,"Total, all education levels",25 to 54 years,81.8
157,2016-11,Canada,"Total, all education levels",25 to 54 years,81.9
158,2016-12,Canada,"Total, all education levels",25 to 54 years,81.6
159,2017-01,Canada,"Total, all education levels",25 to 54 years,81.2
160,2017-02,Canada,"Total, all education levels",25 to 54 years,81.2
161,2017-03,Canada,"Total, all education levels",25 to 54 years,81.4
162,2017-04,Canada,"Total, all education levels",25 to 54 years,81.8
163,2017-05,Canada,"Total, all education levels",25 to 54 years,82.7
164,2017-06,Canada,"Total, all education levels",25 to 54 years,83.0
165,2017-07,Canada,"Total, all education levels",25 to 54 years,82.0
166,2017-08,Canada,"Total, all education levels",25 to 54 years,82.0
167,2017-09,Canada,"Total, all education levels",25 to 54 years,82.8
168,2017-10,Canada,"Total, all education levels",25 to 54 years,82.8
169,2017-11,Canada,"Total, all education levels",25 to 54 years,82.7
170,2017-12,Canada,"Total, all education levels",25 to 54 years,82.5
171,2018-01,Canada,"Total, all education levels",25 to 54 years,81.6
172,2018-02,Canada,"Total, all education levels",25 to 54 years,81.8
173,2018-03,Canada,"Total, all education levels",25 to 54 years,81.9
174,2018-04,Canada,"Total, all education levels",25 to 54 years,82.5
175,2018-05,Canada,"Total, all education levels",25 to 54 years,82.9
176,2018-06,Canada,"Total, all education levels",25 to 54 years,83.3
177,2018-07,Canada,"Total, all education levels",25 to 54 years,82.4
178,2018-08,Canada,"Total, all education levels",25 to 54 years,82.3
179,2018-09,Canada,"Total, all education levels",25 to 54 years,83.6
180,2018-10,Canada,"Total, all education levels",25 to 54 years,83.7
181,2018-11,Canada,"Total, all education levels",25 to 54 years,83.8
182,2018-12,Canada,"Total, all education levels",25 to 54 years,83.5
183,2019-01,Canada,"Total, all education levels",25 to 54 years,82.5
184,2019-02,Canada,"Total, all education levels",25 to 54 years,82.8
185,2019-03,Canada,"Total, all education levels",25 to 54 years,82.5
186,2019-04,Canada,"Total, all education levels",25 to 54 years,83.1
187,2019-05,Canada,"Total, all education levels",25 to 54 years,84.0
188,2019-06,Canada,"Total, all education levels",25 to 54 years,84.1
189,2019-07,Canada,"Total, all education levels",25 to 54 years,82.9
190,2019-08,Canada,"Total, all education levels",25 to 54 years,83.0
191,2019-09,Canada,"Total, all education levels",25 to 54 years,84.4
192,2019-10,Canada,"Total, all education levels",25 to 54 years,83.9
193,2019-11,Canada,"Total, all education levels",25 to 54 years,83.6
194,2019-12,Canada,"Total, all education levels",25 to 54 years,83.5
195,2020-01,Canada,"Total, all education levels",25 to 54 years,82.5
196,2020-02,Canada,"Total, all education levels",25 to 54 years,82.6
197,2020-03,Canada,"Total, all education levels",25 to 54 years,79.1
198,2020-04,Canada,"Total, all education levels",25 to 54 years,72.0
199,2020-05,Canada,"Total, all education levels",25 to 54 years,74.1
200,2020-06,Canada,"Total, all education levels",25 to 54 years,78.5
201,2020-07,Canada,"Total, all education levels",25 to 54 years,78.7
202,2020-08,Canada,"Total, all education levels",25 to 54 years,79.4
203,2020-09,Canada,"Total, all education levels",25 to 54 years,82.0
204,2020-10,Canada,"Total, all education levels",25 to 54 years,82.3
205,2020-11,Canada,"Total, all education levels",25 to 54 years,82.2
206,2020-12,Canada,"Total, all education levels",25 to 54 years,81.7
207,2021-01,Canada,"Total, all education levels",25 to 54 years,80.0
208,2021-02,Canada,"Total, all education levels",25 to 54 years,81.0
209,2021-03,Canada,"Total, all education levels",25 to 54 years,81.4
210,2021-04,Canada,"Total, all education levels",25 to 54 years,81.5
211,2021-05,Canada,"Total, all education levels",25 to 54 years,82.1
