REF_DATE,GEO,North American Industry Classification System,Statistics,Data type,VALUE
2015-01-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,17813.1
2015-02-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,17827.2
2015-03-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,17854.1
2015-04-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,17819.4
2015-05-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,17843.7
2015-06-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,17836.7
2015-07-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,17863.3
2015-08-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,17889
2015-09-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,17890.2
2015-10-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,17899.1
2015-11-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,17872.6
2015-12-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,17867.4
2016-01-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,17871.6
2016-02-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,17889
2016-03-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,17892.8
2016-04-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,17919.7
2016-05-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,17947.4
2016-06-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,17954.5
2016-07-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,17943.2
2016-08-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,17994.2
2016-09-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,18032.5
2016-10-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,18051.2
2016-11-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,18076
2016-12-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,18104
2017-01-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,18172.5
2017-02-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,18216.6
2017-03-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,18241.5
2017-04-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,18271.6
2017-05-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,18312.9
2017-06-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,18371.4
2017-07-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,18416.9
2017-08-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,18436.4
2017-09-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,18442.5
2017-10-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,18475.1
2017-11-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,18550.5
2017-12-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,18619.7
