,Effective Date,Minimum Wage Rate,Experience Level
0,2026-04-01,16.75,Not Applicable
1,2025-10-01,16.5,Not Applicable
2,2025-04-01,15.7,Not Applicable
3,2024-04-01,15.2,Not Applicable
4,2023-10-01,15.0,Not Applicable
5,2023-04-01,14.5,Not Applicable
6,2022-10-01,13.6,Not Applicable
7,2022-04-01,13.35,Not Applicable
8,2021-04-01,12.95,Not Applicable
9,2020-04-01,12.55,Not Applicable
10,2019-04-01,11.55,Experienced
11,2019-04-01,11.05,Inexperienced
12,2018-04-01,11.0,Experienced
13,2018-04-01,10.5,Inexperienced
14,2017-04-01,10.85,Experienced
15,2017-04-01,10.35,Inexperienced
16,2016-04-01,10.7,Experienced
17,2016-04-01,10.2,Inexperienced
