,Period Covered,No. borrowers granted > 1 loan,No. of repeat loans granted,No. borrowers granted repeat loans,No. of 1 Time Repeat,No. of 2 Time Repeat,No. of 3 Time Repeat,No. of 4 Time Repeat,No. of 5 Time Repeat,No. of 6 Time Repeat,No. of 7 Time Repeat,No. of 8+ Time Repeat,Total Loans Granted,Average Amount Loan Granted,Estimated Total Value of Loans Granted,Default Rate,Average Amount Loan Defaulted
0,"July 1, 2015- June 30, 2016",23744.0,115378.0,17665.0,4100.0,2231.0,1592.0,1275.0,1007.0,874.0,805.0,5788.0,213165.0,440.98,94001669.3,7.79,533.98
1,"July 1, 2016 - June 30, 2017",24050.0,117896.0,18795.0,4350.0,2448.0,1810.0,1348.0,1123.0,917.0,863.0,5936.0,209000.0,449.4,93925299.28,7.67,555.18
2,"July 1, 2017 - June 30, 2018",22838.0,111031.0,17503.0,3929.0,2182.0,1600.0,1295.0,1080.0,868.0,792.0,5757.0,202625.0,500.89,101420550.79,7.57,619.06
3,"July 1, 2018 - June 30, 2019",23369.0,105645.0,17477.0,4195.0,2310.0,1650.0,1249.0,1056.0,856.0,801.0,5360.0,195777.0,465.05,90577381.91,7.47,592.88
4,"July 1, 2019 - June 30, 2020",22517.0,110617.0,16378.0,3979.0,2191.0,1641.0,1240.0,1149.0,957.0,809.0,4412.0,175308.0,490.43,85975455.69,7.99,591.0
5,"July 1, 2020 - June 30, 2021",15290.0,76081.0,10697.0,2547.0,1475.0,1010.0,789.0,641.0,537.0,518.0,3180.0,123964.0,487.46,60427856.74,10.47,564.55
6,"July 1, 2021 - June 30, 2022",17333.0,78382.0,12906.0,3853.0,1735.0,1260.0,901.0,714.0,599.0,551.0,3293.0,132840.0,492.44,65415974.4,10.89,547.54
7,"July 1, 2022 - June 30, 2023",17876.0,69021.0,12614.0,3170.0,1731.0,1236.0,947.0,752.0,624.0,532.0,3622.0,145820.0,492.75,71852790.8,10.26,543.3
8,"July 1, 2023 - June 30, 2024",18714.0,75539.0,13029.0,2991.0,1801.0,1262.0,1001.0,761.0,665.0,581.0,3967.0,160370.0,512.44,82180018.81,11.28,572.34
9,"July 1, 2024 - June 30, 2025",20293.0,89717.0,14799.0,3433.0,2060.0,1419.0,1111.0,902.0,752.0,661.0,4461.0,177857.0,546.59,97215471.39,11.68,554.22
