REF_DATE,GEO,Estimate,UOM,VALUE
2015-01-01,Canada,Average weekly earnings including overtime for all employees,Dollars,948.5
2015-02-01,Canada,Average weekly earnings including overtime for all employees,Dollars,949.46
2015-03-01,Canada,Average weekly earnings including overtime for all employees,Dollars,951.71
2015-04-01,Canada,Average weekly earnings including overtime for all employees,Dollars,954.11
2015-05-01,Canada,Average weekly earnings including overtime for all employees,Dollars,948.27
2015-06-01,Canada,Average weekly earnings including overtime for all employees,Dollars,953.22
2015-07-01,Canada,Average weekly earnings including overtime for all employees,Dollars,957.59
2015-08-01,Canada,Average weekly earnings including overtime for all employees,Dollars,944.6
2015-09-01,Canada,Average weekly earnings including overtime for all employees,Dollars,954.06
2015-10-01,Canada,Average weekly earnings including overtime for all employees,Dollars,955.52
2015-11-01,Canada,Average weekly earnings including overtime for all employees,Dollars,951.46
2015-12-01,Canada,Average weekly earnings including overtime for all employees,Dollars,954.88
2016-01-01,Canada,Average weekly earnings including overtime for all employees,Dollars,949.76
2016-02-01,Canada,Average weekly earnings including overtime for all employees,Dollars,953.9
2016-03-01,Canada,Average weekly earnings including overtime for all employees,Dollars,955.46
2016-04-01,Canada,Average weekly earnings including overtime for all employees,Dollars,953.17
2016-05-01,Canada,Average weekly earnings including overtime for all employees,Dollars,954.67
2016-06-01,Canada,Average weekly earnings including overtime for all employees,Dollars,956.87
2016-07-01,Canada,Average weekly earnings including overtime for all employees,Dollars,957.51
2016-08-01,Canada,Average weekly earnings including overtime for all employees,Dollars,958.3
2016-09-01,Canada,Average weekly earnings including overtime for all employees,Dollars,955.66
2016-10-01,Canada,Average weekly earnings including overtime for all employees,Dollars,955.17
2016-11-01,Canada,Average weekly earnings including overtime for all employees,Dollars,960
2016-12-01,Canada,Average weekly earnings including overtime for all employees,Dollars,968.34
2017-01-01,Canada,Average weekly earnings including overtime for all employees,Dollars,967
2017-02-01,Canada,Average weekly earnings including overtime for all employees,Dollars,964.5
2017-03-01,Canada,Average weekly earnings including overtime for all employees,Dollars,967.02
2017-04-01,Canada,Average weekly earnings including overtime for all employees,Dollars,971.07
2017-05-01,Canada,Average weekly earnings including overtime for all employees,Dollars,970.15
2017-06-01,Canada,Average weekly earnings including overtime for all employees,Dollars,971.94
2017-07-01,Canada,Average weekly earnings including overtime for all employees,Dollars,970.07
2017-08-01,Canada,Average weekly earnings including overtime for all employees,Dollars,976.45
2017-09-01,Canada,Average weekly earnings including overtime for all employees,Dollars,985.54
2017-10-01,Canada,Average weekly earnings including overtime for all employees,Dollars,983.54
2017-11-01,Canada,Average weekly earnings including overtime for all employees,Dollars,990.93
2017-12-01,Canada,Average weekly earnings including overtime for all employees,Dollars,991.96
2018-01-01,Canada,Average weekly earnings including overtime for all employees,Dollars,991.47
2018-02-01,Canada,Average weekly earnings including overtime for all employees,Dollars,998.68
2018-03-01,Canada,Average weekly earnings including overtime for all employees,Dollars,997.53
