,State,Date,value
0,Alaska,2015-01-01,18.2
1,Alabama,2015-01-01,80.7
2,Arkansas,2015-01-01,47.7
3,Arizona,2015-01-01,124.2
4,California,2015-01-01,706.5
5,Colorado,2015-01-01,146.7
6,Connecticut,2015-01-01,56.8
7,Florida,2015-01-01,414.9
8,Georgia,2015-01-01,166.1
9,Iowa,2015-01-01,78.1
10,Idaho,2015-01-01,37.5
11,Illinois,2015-01-01,209.0
12,Indiana,2015-01-01,125.6
13,Kansas,2015-01-01,59.9
14,Kentucky,2015-01-01,75.3
15,Louisiana,2015-01-01,140.5
16,Massachusetts,2015-01-01,133.7
17,Maine,2015-01-01,26.1
18,Michigan,2015-01-01,145.7
19,Minnesota,2015-01-01,111.8
20,Missouri,2015-01-01,112.3
21,Mississippi,2015-01-01,46.7
22,Montana,2015-01-01,26.1
23,North Carolina,2015-01-01,184.0
24,North Dakota,2015-01-01,37.5
25,New Hampshire,2015-01-01,23.7
26,New Jersey,2015-01-01,144.3
27,New Mexico,2015-01-01,43.4
28,Nevada,2015-01-01,66.9
29,New York,2015-01-01,351.6
30,Ohio,2015-01-01,197.4
31,Oklahoma,2015-01-01,77.0
32,Oregon,2015-01-01,81.2
33,Pennsylvania,2015-01-01,231.0
34,Rhode Island,2015-01-01,16.6
35,South Carolina,2015-01-01,87.0
36,South Dakota,2015-01-01,21.7
37,Maryland,2015-01-01,150.1
38,Nebraska,2015-01-01,47.6
39,Texas,2015-01-01,676.2
40,Utah,2015-01-01,82.2
41,Virginia,2015-01-01,180.5
42,Vermont,2015-01-01,15.0
43,Washington,2015-01-01,169.5
44,Wisconsin,2015-01-01,107.6
45,West Virginia,2015-01-01,33.2
46,Wyoming,2015-01-01,23.7
47,Alaska,2015-02-01,18.2
48,Alabama,2015-02-01,80.3
49,Arkansas,2015-02-01,48.0
50,Arizona,2015-02-01,124.3
51,California,2015-02-01,708.2
52,Colorado,2015-02-01,147.9
53,Connecticut,2015-02-01,57.0
54,Florida,2015-02-01,417.1
55,Georgia,2015-02-01,167.0
56,Iowa,2015-02-01,78.8
57,Idaho,2015-02-01,37.9
58,Illinois,2015-02-01,209.6
59,Indiana,2015-02-01,125.9
60,Kansas,2015-02-01,60.7
61,Kentucky,2015-02-01,75.5
62,Louisiana,2015-02-01,139.6
63,Massachusetts,2015-02-01,133.5
64,Maine,2015-02-01,26.0
65,Michigan,2015-02-01,146.0
66,Minnesota,2015-02-01,112.6
67,Missouri,2015-02-01,114.0
68,Mississippi,2015-02-01,47.0
69,Montana,2015-02-01,26.6
70,North Carolina,2015-02-01,185.9
71,North Dakota,2015-02-01,36.9
72,New Hampshire,2015-02-01,23.6
73,New Jersey,2015-02-01,145.0
74,New Mexico,2015-02-01,43.3
75,Nevada,2015-02-01,67.4
76,New York,2015-02-01,348.8
77,Ohio,2015-02-01,197.5
78,Oklahoma,2015-02-01,78.4
79,Oregon,2015-02-01,82.0
80,Pennsylvania,2015-02-01,230.8
81,Rhode Island,2015-02-01,16.4
82,South Carolina,2015-02-01,87.6
83,South Dakota,2015-02-01,22.0
84,Maryland,2015-02-01,150.6
85,Nebraska,2015-02-01,48.2
86,Texas,2015-02-01,678.8
87,Utah,2015-02-01,82.8
88,Virginia,2015-02-01,181.0
89,Vermont,2015-02-01,15.0
90,Washington,2015-02-01,170.7
91,Wisconsin,2015-02-01,107.5
92,West Virginia,2015-02-01,33.3
93,Wyoming,2015-02-01,23.7
94,Alaska,2015-03-01,18.5
95,Alabama,2015-03-01,79.2
96,Arkansas,2015-03-01,47.1
97,Arizona,2015-03-01,124.6
98,California,2015-03-01,712.8
99,Colorado,2015-03-01,147.3
100,Connecticut,2015-03-01,56.7
101,Florida,2015-03-01,419.8
102,Georgia,2015-03-01,165.8
103,Iowa,2015-03-01,79.1
104,Idaho,2015-03-01,38.4
105,Illinois,2015-03-01,208.6
106,Indiana,2015-03-01,125.0
107,Kansas,2015-03-01,60.6
108,Kentucky,2015-03-01,73.2
109,Louisiana,2015-03-01,138.7
110,Massachusetts,2015-03-01,133.6
111,Maine,2015-03-01,25.9
112,Michigan,2015-03-01,146.5
113,Minnesota,2015-03-01,113.4
114,Missouri,2015-03-01,112.4
115,Mississippi,2015-03-01,46.0
116,Montana,2015-03-01,26.6
117,North Carolina,2015-03-01,184.8
118,North Dakota,2015-03-01,36.4
119,New Hampshire,2015-03-01,23.4
120,New Jersey,2015-03-01,143.8
121,New Mexico,2015-03-01,43.1
122,Nevada,2015-03-01,67.5
123,New York,2015-03-01,352.3
124,Ohio,2015-03-01,196.1
125,Oklahoma,2015-03-01,77.5
126,Oregon,2015-03-01,82.2
