,State,Date,value
0,Alaska,2015-01-01,362704.0
1,Alabama,2015-01-01,2166864.0
2,Arkansas,2015-01-01,1331412.0
3,Arizona,2015-01-01,3090768.0
4,California,2015-01-01,18818212.0
5,Colorado,2015-01-01,2807587.0
6,Connecticut,2015-01-01,1912878.0
7,District of Columbia,2015-01-01,379620.0
8,Delaware,2015-01-01,458015.0
9,Florida,2015-01-01,9547419.0
10,Georgia,2015-01-01,4739013.0
11,Hawaii,2015-01-01,680210.0
12,Iowa,2015-01-01,1708406.0
13,Idaho,2015-01-01,789286.0
14,Illinois,2015-01-01,6530801.0
15,Indiana,2015-01-01,3246591.0
16,Kansas,2015-01-01,1497763.0
17,Kentucky,2015-01-01,1987156.0
18,Louisiana,2015-01-01,2169690.0
19,Massachusetts,2015-01-01,3632559.0
20,Maryland,2015-01-01,3157724.0
21,Maine,2015-01-01,695333.0
22,Michigan,2015-01-01,4764774.0
23,Minnesota,2015-01-01,3002256.0
24,Missouri,2015-01-01,3046324.0
25,Mississippi,2015-01-01,1249462.0
26,Montana,2015-01-01,517396.0
27,North Carolina,2015-01-01,4680763.0
28,North Dakota,2015-01-01,416126.0
29,Nebraska,2015-01-01,1013018.0
30,New Hampshire,2015-01-01,750638.0
31,New Jersey,2015-01-01,4599138.0
32,New Mexico,2015-01-01,940698.0
33,Nevada,2015-01-01,1389305.0
34,New York,2015-01-01,9705061.0
35,Ohio,2015-01-01,5737312.0
36,Oklahoma,2015-01-01,1813648.0
37,Oregon,2015-01-01,1958638.0
38,Pennsylvania,2015-01-01,6444939.0
39,Rhode Island,2015-01-01,566321.0
40,South Carolina,2015-01-01,2233242.0
41,South Dakota,2015-01-01,449519.0
42,Tennessee,2015-01-01,3065281.0
43,Texas,2015-01-01,13005030.0
44,Utah,2015-01-01,1443189.0
45,Virginia,2015-01-01,4237002.0
46,Vermont,2015-01-01,353493.0
47,Washington,2015-01-01,3519204.0
48,Wisconsin,2015-01-01,3093599.0
49,West Virginia,2015-01-01,795082.0
50,Wyoming,2015-01-01,302001.0
51,Alaska,2015-02-01,362522.0
52,Alabama,2015-02-01,2169495.0
53,Arkansas,2015-02-01,1332284.0
54,Arizona,2015-02-01,3093823.0
55,California,2015-02-01,18826972.0
56,Colorado,2015-02-01,2808391.0
57,Connecticut,2015-02-01,1912990.0
58,District of Columbia,2015-02-01,379593.0
59,Delaware,2015-02-01,458674.0
60,Florida,2015-02-01,9552483.0
61,Georgia,2015-02-01,4737111.0
62,Hawaii,2015-02-01,680652.0
63,Iowa,2015-02-01,1707615.0
64,Idaho,2015-02-01,791359.0
65,Illinois,2015-02-01,6531408.0
66,Indiana,2015-02-01,3247085.0
67,Kansas,2015-02-01,1497519.0
68,Kentucky,2015-02-01,1985437.0
69,Louisiana,2015-02-01,2167248.0
70,Massachusetts,2015-02-01,3630125.0
71,Maryland,2015-02-01,3160431.0
72,Maine,2015-02-01,694372.0
73,Michigan,2015-02-01,4763075.0
