,State,Date,value
0,Alaska,1990-01-01,12.4
1,Arkansas,1990-01-01,218.4
2,Arizona,1990-01-01,177.3
3,California,1990-01-01,1985.5
4,Colorado,1990-01-01,169.7
5,Connecticut,1990-01-01,305.1
6,Delaware,1990-01-01,42.6
7,Florida,1990-01-01,521.3
8,Georgia,1990-01-01,524.9
9,Hawaii,1990-01-01,21.0
10,Iowa,1990-01-01,221.1
11,Idaho,1990-01-01,51.4
12,Illinois,1990-01-01,923.7
13,Indiana,1990-01-01,605.6
14,Kansas,1990-01-01,175.2
15,Kentucky,1990-01-01,271.2
16,Louisiana,1990-01-01,173.2
17,Massachusetts,1990-01-01,494.2
18,Maryland,1990-01-01,201.8
19,Maine,1990-01-01,95.0
20,Michigan,1990-01-01,810.0
21,Minnesota,1990-01-01,343.9
22,Missouri,1990-01-01,395.1
23,Mississippi,1990-01-01,225.4
24,Montana,1990-01-01,19.3
25,North Carolina,1990-01-01,834.0
26,North Dakota,1990-01-01,14.9
27,Nebraska,1990-01-01,95.8
28,New Hampshire,1990-01-01,100.9
29,New Jersey,1990-01-01,549.1
30,New Mexico,1990-01-01,37.5
31,Nevada,1990-01-01,23.5
32,New York,1990-01-01,1009.7
33,Ohio,1990-01-01,1044.4
34,Oklahoma,1990-01-01,158.5
35,Oregon,1990-01-01,206.2
36,Pennsylvania,1990-01-01,965.4
37,Rhode Island,1990-01-01,97.5
38,South Carolina,1990-01-01,353.4
39,South Dakota,1990-01-01,32.5
40,District of Columbia,1990-01-01,7.6
41,Alabama,1990-01-01,365.5
42,Tennessee,1990-01-01,502.7
43,Texas,1990-01-01,938.8
44,Utah,1990-01-01,101.6
45,Virginia,1990-01-01,391.3
46,Vermont,1990-01-01,44.2
47,Washington,1990-01-01,337.7
48,Wisconsin,1990-01-01,524.5
49,West Virginia,1990-01-01,81.9
50,Wyoming,1990-01-01,8.9
51,Alaska,1990-02-01,12.4
52,Arkansas,1990-02-01,218.9
53,Arizona,1990-02-01,177.6
54,California,1990-02-01,1985.4
55,Colorado,1990-02-01,170.0
56,Connecticut,1990-02-01,304.8
57,Delaware,1990-02-01,46.7
58,Florida,1990-02-01,519.9
59,Georgia,1990-02-01,526.9
60,Hawaii,1990-02-01,21.0
61,Iowa,1990-02-01,220.6
62,Idaho,1990-02-01,52.6
63,Illinois,1990-02-01,927.3
64,Indiana,1990-02-01,607.3
65,Kansas,1990-02-01,177.5
66,Kentucky,1990-02-01,272.9
67,Louisiana,1990-02-01,174.0
68,Massachusetts,1990-02-01,492.1
69,Maryland,1990-02-01,204.7
70,Maine,1990-02-01,94.9
71,Michigan,1990-02-01,836.0
72,Minnesota,1990-02-01,343.9
73,Missouri,1990-02-01,396.0
74,Mississippi,1990-02-01,226.7
75,Montana,1990-02-01,19.2
76,North Carolina,1990-02-01,839.3
77,North Dakota,1990-02-01,15.2
78,Nebraska,1990-02-01,95.9
79,New Hampshire,1990-02-01,101.2
80,New Jersey,1990-02-01,548.6
81,New Mexico,1990-02-01,37.3
82,Nevada,1990-02-01,23.8
83,New York,1990-02-01,1007.3
84,Ohio,1990-02-01,1061.6
85,Oklahoma,1990-02-01,159.9
86,Oregon,1990-02-01,205.2
87,Pennsylvania,1990-02-01,964.5
88,Rhode Island,1990-02-01,97.1
89,South Carolina,1990-02-01,353.4
90,South Dakota,1990-02-01,32.8
