Period Covered,No. borrowers granted > 1 loan,No. of repeat loans granted,No. borrowers granted repeat loans,No. of 1 Time Repeat,No. of 2 Time Repeat,No. of 3 Time Repeat,No. of 4 Time Repeat,No. of 5 Time Repeat,No. of 6 Time Repeat,No. of 7 Time Repeat,No. of 8+ Time Repeat,Total Loans Granted,Average Amount Loan Granted,Estimated Total Value of Loans Granted,Default Rate,Average Amount Loan Defaulted
"July 1, 2015- June 30, 2016","23,744","115,378","17,665","4,100","2,231","1,592","1,275","1,007",874,805,"5,788","213,165",$440.98,"$94,001,669.3",7.79%,$533.98
"July 1, 2016 - June 30, 2017","24,050","117,896","18,795","4,350","2,448","1,810","1,348","1,123",917,863,"5,936","209,000",$449.4,"$93,925,299.28",7.67%,$555.18
"July 1, 2017 - June 30, 2018","22,838","111,031","17,503","3,929","2,182","1,600","1,295","1,080",868,792,"5,757","202,625",$500.89,"$101,420,550.79",7.57%,$619.06
"July 1, 2018 - June 30, 2019","23,369","105,645","17,477","4,195","2,310","1,650","1,249","1,056",856,801,"5,360","195,777",$465.05,"$90,577,381.91",7.47%,$592.88
"July 1, 2019 - June 30, 2020","22,517","110,617","16,378","3,979","2,191","1,641","1,240","1,149",957,809,"4,412","175,308",$490.43,"$85,975,455.69",7.99%,$591
"July 1, 2020 - June 30, 2021","15,290","76,081","10,697","2,547","1,475","1,010",789,641,537,518,"3,180","123,964",$487.46,"$60,427,856.74",10.47%,$564.55
"July 1, 2021 - June 30, 2022","17,333","78,382","12,906","3,853","1,735","1,260",901,714,599,551,"3,293","132,840",$492.44,"$65,415,974.4",10.89%,$547.54
"July 1, 2022 - June 30, 2023","17,876","69,021","12,614","3,170","1,731","1,236",947,752,624,532,"3,622","145,820",$492.75,"$71,852,790.8",10.26%,$543.3
"July 1, 2023 - June 30, 2024","18,714","75,539","13,029","2,991","1,801","1,262","1,001",761,665,581,"3,967","160,370",$512.44,"$82,180,018.81",11.28%,$572.34
"July 1, 2024 - June 30, 2025","20,293","89,717","14,799","3,433","2,060","1,419","1,111",902,752,661,"4,461","177,857",$546.59,"$97,215,471.39",11.68%,$554.22
