"REF_DATE","GEO","DGUID","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2015","Canada","2016A000011124","Household income","Dollars","81","millions","6","v62790675","1.1","1689159","","","","0"
"2016","Canada","2016A000011124","Household income","Dollars","81","millions","6","v62790675","1.1","1704299","","","","0"
"2017","Canada","2016A000011124","Household income","Dollars","81","millions","6","v62790675","1.1","1779954","","","","0"
"2018","Canada","2016A000011124","Household income","Dollars","81","millions","6","v62790675","1.1","1854265","","","","0"
"2019","Canada","2016A000011124","Household income","Dollars","81","millions","6","v62790675","1.1","1940290","","","","0"
"2020","Canada","2016A000011124","Household income","Dollars","81","millions","6","v62790675","1.1","2044798","","","","0"
"2021","Canada","2016A000011124","Household income","Dollars","81","millions","6","v62790675","1.1","2140562","","","","0"
"2022","Canada","2016A000011124","Household income","Dollars","81","millions","6","v62790675","1.1","2272482","","","","0"
"2023","Canada","2016A000011124","Household income","Dollars","81","millions","6","v62790675","1.1","2456748","","","","0"
"2024","Canada","2016A000011124","Household income","Dollars","81","millions","6","v62790675","1.1","2645258","","","","0"
"2015","Canada","2016A000011124","Compensation of employees","Dollars","81","millions","6","v62790676","1.2","1024743","","","","0"
"2016","Canada","2016A000011124","Compensation of employees","Dollars","81","millions","6","v62790676","1.2","1024142","","","","0"
"2017","Canada","2016A000011124","Compensation of employees","Dollars","81","millions","6","v62790676","1.2","1066523","","","","0"
"2018","Canada","2016A000011124","Compensation of employees","Dollars","81","millions","6","v62790676","1.2","1122304","","","","0"
"2019","Canada","2016A000011124","Compensation of employees","Dollars","81","millions","6","v62790676","1.2","1168596","","","","0"
"2020","Canada","2016A000011124","Compensation of employees","Dollars","81","millions","6","v62790676","1.2","1155843","","","","0"
"2021","Canada","2016A000011124","Compensation of employees","Dollars","81","millions","6","v62790676","1.2","1264002","","","","0"
"2022","Canada","2016A000011124","Compensation of employees","Dollars","81","millions","6","v62790676","1.2","1378529","","","","0"
"2023","Canada","2016A000011124","Compensation of employees","Dollars","81","millions","6","v62790676","1.2","1466919","","","","0"
"2024","Canada","2016A000011124","Compensation of employees","Dollars","81","millions","6","v62790676","1.2","1552649","","","","0"
"2015","Canada","2016A000011124","Net mixed income","Dollars","81","millions","6","v62790677","1.3","177997","","","","0"
"2016","Canada","2016A000011124","Net mixed income","Dollars","81","millions","6","v62790677","1.3","183577","","","","0"
"2017","Canada","2016A000011124","Net mixed income","Dollars","81","millions","6","v62790677","1.3","190324","","","","0"
"2018","Canada","2016A000011124","Net mixed income","Dollars","81","millions","6","v62790677","1.3","195617","","","","0"
"2019","Canada","2016A000011124","Net mixed income","Dollars","81","millions","6","v62790677","1.3","208000","","","","0"
"2020","Canada","2016A000011124","Net mixed income","Dollars","81","millions","6","v62790677","1.3","207304","","","","0"
"2021","Canada","2016A000011124","Net mixed income","Dollars","81","millions","6","v62790677","1.3","212760","","","","0"
"2022","Canada","2016A000011124","Net mixed income","Dollars","81","millions","6","v62790677","1.3","224841","","","","0"
"2023","Canada","2016A000011124","Net mixed income","Dollars","81","millions","6","v62790677","1.3","250843","","","","0"
"2024","Canada","2016A000011124","Net mixed income","Dollars","81","millions","6","v62790677","1.3","282423","","","","0"
"2015","Canada","2016A000011124","Property income received","Dollars","81","millions","6","v62790678","1.4","198219","","","","0"
"2016","Canada","2016A000011124","Property income received","Dollars","81","millions","6","v62790678","1.4","189503","","","","0"
"2017","Canada","2016A000011124","Property income received","Dollars","81","millions","6","v62790678","1.4","202189","","","","0"
"2018","Canada","2016A000011124","Property income received","Dollars","81","millions","6","v62790678","1.4","202278","","","","0"
"2019","Canada","2016A000011124","Property income received","Dollars","81","millions","6","v62790678","1.4","217587","","","","0"
"2020","Canada","2016A000011124","Property income received","Dollars","81","millions","6","v62790678","1.4","212699","","","","0"
"2021","Canada","2016A000011124","Property income received","Dollars","81","millions","6","v62790678","1.4","221361","","","","0"
"2022","Canada","2016A000011124","Property income received","Dollars","81","millions","6","v62790678","1.4","246588","","","","0"
"2023","Canada","2016A000011124","Property income received","Dollars","81","millions","6","v62790678","1.4","298838","","","","0"
"2024","Canada","2016A000011124","Property income received","Dollars","81","millions","6","v62790678","1.4","336506","","","","0"
"2015","Canada","2016A000011124","Current transfers received","Dollars","81","millions","6","v62790679","1.5","288200","","","","0"
"2016","Canada","2016A000011124","Current transfers received","Dollars","81","millions","6","v62790679","1.5","307077","","","","0"
"2017","Canada","2016A000011124","Current transfers received","Dollars","81","millions","6","v62790679","1.5","320918","","","","0"
"2018","Canada","2016A000011124","Current transfers received","Dollars","81","millions","6","v62790679","1.5","334066","","","","0"
"2019","Canada","2016A000011124","Current transfers received","Dollars","81","millions","6","v62790679","1.5","346107","","","","0"
"2020","Canada","2016A000011124","Current transfers received","Dollars","81","millions","6","v62790679","1.5","468952","","","","0"
"2021","Canada","2016A000011124","Current transfers received","Dollars","81","millions","6","v62790679","1.5","442439","","","","0"
"2022","Canada","2016A000011124","Current transfers received","Dollars","81","millions","6","v62790679","1.5","422524","","","","0"
"2023","Canada","2016A000011124","Current transfers received","Dollars","81","millions","6","v62790679","1.5","440148","","","","0"
"2024","Canada","2016A000011124","Current transfers received","Dollars","81","millions","6","v62790679","1.5","473680","","","","0"
"2015","Canada","2016A000011124","Household outlays","Dollars","81","millions","6","v62790680","1.6","1681358","","","","0"
