"REF_DATE","GEO","DGUID","Estimate","North American Industry Classification System (NAICS)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2015-01","Canada","2021A000011124","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310773","1.1.1","15752105","A","","","0"
"2015-02","Canada","2021A000011124","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310773","1.1.1","15757337","A","","","0"
"2015-03","Canada","2021A000011124","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310773","1.1.1","15754586","A","","","0"
"2015-04","Canada","2021A000011124","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310773","1.1.1","15790287","A","","","0"
"2015-05","Canada","2021A000011124","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310773","1.1.1","15814249","A","","","0"
"2015-06","Canada","2021A000011124","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310773","1.1.1","15781003","A","","","0"
"2015-07","Canada","2021A000011124","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310773","1.1.1","15817080","A","","","0"
"2015-08","Canada","2021A000011124","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310773","1.1.1","15785580","A","","","0"
"2015-09","Canada","2021A000011124","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310773","1.1.1","15804880","A","","","0"
"2015-10","Canada","2021A000011124","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310773","1.1.1","15867904","A","","","0"
"2015-11","Canada","2021A000011124","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310773","1.1.1","15857521","A","","","0"
"2015-12","Canada","2021A000011124","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310773","1.1.1","15887532","A","","","0"
"2016-01","Canada","2021A000011124","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310773","1.1.1","15884090","A","","","0"
"2016-02","Canada","2021A000011124","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310773","1.1.1","15871159","A","","","0"
"2016-03","Canada","2021A000011124","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310773","1.1.1","15905002","A","","","0"
"2016-04","Canada","2021A000011124","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310773","1.1.1","15962870","A","","","0"
"2016-05","Canada","2021A000011124","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310773","1.1.1","15955577","A","","","0"
"2016-06","Canada","2021A000011124","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310773","1.1.1","16010056","A","","","0"
"2016-07","Canada","2021A000011124","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310773","1.1.1","16001528","A","","","0"
"2016-08","Canada","2021A000011124","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310773","1.1.1","15983767","A","","","0"
"2016-09","Canada","2021A000011124","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310773","1.1.1","16042868","A","","","0"
