"REF_DATE","GEO","DGUID","Estimate","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2015-01","Canada","2021A000011124","Employment for all employees","Persons","249","units","0","v54027307","1.1","15508037","A","","","0"
"2015-02","Canada","2021A000011124","Employment for all employees","Persons","249","units","0","v54027307","1.1","15505998","A","","","0"
"2015-03","Canada","2021A000011124","Employment for all employees","Persons","249","units","0","v54027307","1.1","15503419","A","","","0"
"2015-04","Canada","2021A000011124","Employment for all employees","Persons","249","units","0","v54027307","1.1","15541851","A","","","0"
"2015-05","Canada","2021A000011124","Employment for all employees","Persons","249","units","0","v54027307","1.1","15557475","A","","","0"
"2015-06","Canada","2021A000011124","Employment for all employees","Persons","249","units","0","v54027307","1.1","15530683","A","","","0"
"2015-07","Canada","2021A000011124","Employment for all employees","Persons","249","units","0","v54027307","1.1","15559276","A","","","0"
"2015-08","Canada","2021A000011124","Employment for all employees","Persons","249","units","0","v54027307","1.1","15525879","A","","","0"
"2015-09","Canada","2021A000011124","Employment for all employees","Persons","249","units","0","v54027307","1.1","15541821","A","","","0"
"2015-10","Canada","2021A000011124","Employment for all employees","Persons","249","units","0","v54027307","1.1","15596449","A","","","0"
"2015-11","Canada","2021A000011124","Employment for all employees","Persons","249","units","0","v54027307","1.1","15581197","A","","","0"
"2015-12","Canada","2021A000011124","Employment for all employees","Persons","249","units","0","v54027307","1.1","15602705","A","","","0"
"2016-01","Canada","2021A000011124","Employment for all employees","Persons","249","units","0","v54027307","1.1","15601652","A","","","0"
"2016-02","Canada","2021A000011124","Employment for all employees","Persons","249","units","0","v54027307","1.1","15589766","A","","","0"
"2016-03","Canada","2021A000011124","Employment for all employees","Persons","249","units","0","v54027307","1.1","15620535","A","","","0"
"2016-04","Canada","2021A000011124","Employment for all employees","Persons","249","units","0","v54027307","1.1","15668020","A","","","0"
"2016-05","Canada","2021A000011124","Employment for all employees","Persons","249","units","0","v54027307","1.1","15664227","A","","","0"
"2016-06","Canada","2021A000011124","Employment for all employees","Persons","249","units","0","v54027307","1.1","15705569","A","","","0"
"2016-07","Canada","2021A000011124","Employment for all employees","Persons","249","units","0","v54027307","1.1","15698805","A","","","0"
"2016-08","Canada","2021A000011124","Employment for all employees","Persons","249","units","0","v54027307","1.1","15683854","A","","","0"
"2016-09","Canada","2021A000011124","Employment for all employees","Persons","249","units","0","v54027307","1.1","15742681","A","","","0"
"2016-10","Canada","2021A000011124","Employment for all employees","Persons","249","units","0","v54027307","1.1","15750881","A","","","0"
"2016-11","Canada","2021A000011124","Employment for all employees","Persons","249","units","0","v54027307","1.1","15784999","A","","","0"
"2016-12","Canada","2021A000011124","Employment for all employees","Persons","249","units","0","v54027307","1.1","15837496","A","","","0"
"2017-01","Canada","2021A000011124","Employment for all employees","Persons","249","units","0","v54027307","1.1","15825195","A","","","0"
"2017-02","Canada","2021A000011124","Employment for all employees","Persons","249","units","0","v54027307","1.1","15880638","A","","","0"
"2017-03","Canada","2021A000011124","Employment for all employees","Persons","249","units","0","v54027307","1.1","15878185","A","","","0"
"2017-04","Canada","2021A000011124","Employment for all employees","Persons","249","units","0","v54027307","1.1","15897157","A","","","0"
"2017-05","Canada","2021A000011124","Employment for all employees","Persons","249","units","0","v54027307","1.1","15923813","A","","","0"
"2017-06","Canada","2021A000011124","Employment for all employees","Persons","249","units","0","v54027307","1.1","16006743","A","","","0"
"2017-07","Canada","2021A000011124","Employment for all employees","Persons","249","units","0","v54027307","1.1","16014735","A","","","0"
"2017-08","Canada","2021A000011124","Employment for all employees","Persons","249","units","0","v54027307","1.1","16058580","A","","","0"
"2017-09","Canada","2021A000011124","Employment for all employees","Persons","249","units","0","v54027307","1.1","16090207","A","","","0"
"2017-10","Canada","2021A000011124","Employment for all employees","Persons","249","units","0","v54027307","1.1","16073305","A","","","0"
"2017-11","Canada","2021A000011124","Employment for all employees","Persons","249","units","0","v54027307","1.1","16089642","A","","","0"
"2017-12","Canada","2021A000011124","Employment for all employees","Persons","249","units","0","v54027307","1.1","16133393","A","","","0"
"2018-01","Canada","2021A000011124","Employment for all employees","Persons","249","units","0","v54027307","1.1","16135654","A","","","0"
"2018-02","Canada","2021A000011124","Employment for all employees","Persons","249","units","0","v54027307","1.1","16181626","A","","","0"
"2018-03","Canada","2021A000011124","Employment for all employees","Persons","249","units","0","v54027307","1.1","16237084","A","","","0"
"2018-04","Canada","2021A000011124","Employment for all employees","Persons","249","units","0","v54027307","1.1","16238017","A","","","0"
"2018-05","Canada","2021A000011124","Employment for all employees","Persons","249","units","0","v54027307","1.1","16303890","A","","","0"
"2018-06","Canada","2021A000011124","Employment for all employees","Persons","249","units","0","v54027307","1.1","16333299","A","","","0"
"2018-07","Canada","2021A000011124","Employment for all employees","Persons","249","units","0","v54027307","1.1","16312159","A","","","0"
"2018-08","Canada","2021A000011124","Employment for all employees","Persons","249","units","0","v54027307","1.1","16357093","A","","","0"
"2018-09","Canada","2021A000011124","Employment for all employees","Persons","249","units","0","v54027307","1.1","16389230","A","","","0"
"2018-10","Canada","2021A000011124","Employment for all employees","Persons","249","units","0","v54027307","1.1","16436426","A","","","0"
"2018-11","Canada","2021A000011124","Employment for all employees","Persons","249","units","0","v54027307","1.1","16531667","A","","","0"
"2018-12","Canada","2021A000011124","Employment for all employees","Persons","249","units","0","v54027307","1.1","16516684","A","","","0"
"2019-01","Canada","2021A000011124","Employment for all employees","Persons","249","units","0","v54027307","1.1","16582389","A","","","0"
"2019-02","Canada","2021A000011124","Employment for all employees","Persons","249","units","0","v54027307","1.1","16630627","A","","","0"
"2019-03","Canada","2021A000011124","Employment for all employees","Persons","249","units","0","v54027307","1.1","16646263","A","","","0"
"2019-04","Canada","2021A000011124","Employment for all employees","Persons","249","units","0","v54027307","1.1","16644570","A","","","0"
"2019-05","Canada","2021A000011124","Employment for all employees","Persons","249","units","0","v54027307","1.1","16679289","A","","","0"
"2019-06","Canada","2021A000011124","Employment for all employees","Persons","249","units","0","v54027307","1.1","16695340","A","","","0"
"2019-07","Canada","2021A000011124","Employment for all employees","Persons","249","units","0","v54027307","1.1","16751213","A","","","0"
"2019-08","Canada","2021A000011124","Employment for all employees","Persons","249","units","0","v54027307","1.1","16763279","A","","","0"
"2019-09","Canada","2021A000011124","Employment for all employees","Persons","249","units","0","v54027307","1.1","16752808","B","","","0"
